Date;Hour;air_density;direction;speed
2010-01-01;00:00:00;1.24;273.0;3.53
2010-01-01;01:00:00;1.23;322.5;3.03
2010-01-01;02:00:00;1.23;313.5;5.13
2010-01-01;03:00:00;1.23;300.0;4.32
2010-01-01;04:00:00;1.23;271.5;4.54
2010-01-01;05:00:00;1.24;306.0;2.17
2010-01-01;06:00:00;1.24;313.5;3.27
2010-01-01;07:00:00;1.24;307.5;2.45
2010-01-01;08:00:00;1.24;309.0;3.16
2010-01-01;09:00:00;1.24;298.5;3.42
2010-01-01;10:00:00;1.24;249.0;2.46
2010-01-01;11:00:00;1.24;286.5;3.95
2010-01-01;12:00:00;1.23;295.5;3.25
2010-01-01;13:00:00;1.23;303.0;2.64
2010-01-01;14:00:00;1.23;334.5;3.42
2010-01-01;15:00:00;1.23;352.5;5.36
2010-01-01;16:00:00;1.23;348.0;6.48
2010-01-01;17:00:00;1.23;351.0;5.53
2010-01-01;18:00:00;1.23;337.5;7.0
2010-01-01;19:00:00;1.22;337.5;6.17
2010-01-01;20:00:00;1.22;322.5;8.07
2010-01-01;21:00:00;1.23;321.0;7.9
2010-01-01;22:00:00;1.23;337.5;9.96
2010-01-01;23:00:00;1.23;355.5;9.72
2010-01-02;00:00:00;1.23;138.75;5.97
2010-01-02;01:00:00;1.23;4.5;11.22
2010-01-02;02:00:00;1.23;355.5;11.55
2010-01-02;03:00:00;1.23;352.5;11.77
2010-01-02;04:00:00;1.23;349.5;13.54
2010-01-02;05:00:00;1.23;343.5;12.51
2010-01-02;06:00:00;1.23;343.5;10.42
2010-01-02;07:00:00;1.23;345.0;10.53
2010-01-02;08:00:00;1.23;342.0;10.45
2010-01-02;09:00:00;1.23;345.0;8.4
2010-01-02;10:00:00;1.23;355.5;6.33
2010-01-02;11:00:00;1.23;354.0;5.28
2010-01-02;12:00:00;1.23;345.0;8.15
2010-01-02;13:00:00;1.23;349.5;7.85
2010-01-02;14:00:00;1.22;343.5;7.58
2010-01-02;15:00:00;1.22;1.5;6.51
2010-01-02;16:00:00;1.22;354.0;7.56
2010-01-02;17:00:00;1.22;355.5;8.97
2010-01-02;18:00:00;1.22;357.0;9.32
2010-01-02;19:00:00;1.22;360.0;9.29
2010-01-02;20:00:00;1.22;352.5;10.13
2010-01-02;21:00:00;1.22;355.5;9.61
2010-01-02;22:00:00;1.22;355.5;9.54
2010-01-02;23:00:00;1.22;354.0;10.52
2010-01-03;00:00:00;1.22;4.5;8.4
2010-01-03;01:00:00;1.22;3.0;8.32
2010-01-03;02:00:00;1.22;1.5;9.05
2010-01-03;03:00:00;1.22;3.0;8.75
2010-01-03;04:00:00;1.22;4.5;7.64
2010-01-03;05:00:00;1.22;4.5;7.06
2010-01-03;06:00:00;1.22;16.5;6.29
2010-01-03;07:00:00;1.22;7.5;8.01
2010-01-03;08:00:00;1.22;0.0;8.4
2010-01-03;09:00:00;1.22;3.0;8.67
2010-01-03;10:00:00;1.22;6.0;8.57
2010-01-03;11:00:00;1.22;9.0;8.59
2010-01-03;12:00:00;1.22;6.0;8.1
2010-01-03;13:00:00;1.22;3.0;9.65
2010-01-03;14:00:00;1.22;7.5;9.68
2010-01-03;15:00:00;1.22;7.5;8.11
2010-01-03;16:00:00;1.22;7.5;8.57
2010-01-03;17:00:00;1.22;3.0;9.13
2010-01-03;18:00:00;1.22;358.5;11.07
2010-01-03;19:00:00;1.22;360.0;10.43
2010-01-03;20:00:00;1.22;358.5;10.28
2010-01-03;21:00:00;1.22;238.5;2.72
2010-01-03;22:00:00;1.23;220.5;4.63
2010-01-03;23:00:00;1.23;217.5;4.58
2010-01-04;00:00:00;1.23;163.5;1.78
2010-01-04;01:00:00;1.24;177.0;2.61
2010-01-04;02:00:00;1.24;153.0;1.7
2010-01-04;03:00:00;1.24;141.0;1.88
2010-01-04;04:00:00;1.24;132.0;1.68
2010-01-04;05:00:00;1.24;142.5;1.53
2010-01-04;06:00:00;1.24;193.5;1.22
2010-01-04;07:00:00;1.24;219.0;1.34
2010-01-04;08:00:00;1.24;210.0;2.44
2010-01-04;09:00:00;1.24;211.5;2.18
2010-01-04;10:00:00;1.24;172.5;2.34
2010-01-04;11:00:00;1.24;192.0;1.89
2010-01-04;12:00:00;1.24;204.0;1.03
2010-01-04;13:00:00;1.23;166.5;0.64
2010-01-04;14:00:00;1.23;288.0;0.93
2010-01-04;15:00:00;1.23;328.5;1.17
2010-01-04;16:00:00;1.22;357.0;2.25
2010-01-04;17:00:00;1.22;19.5;3.5
2010-01-04;18:00:00;1.22;351.0;4.0
2010-01-04;19:00:00;1.22;343.5;4.02
2010-01-04;20:00:00;1.22;318.0;3.38
2010-01-04;21:00:00;1.22;240.0;6.1
2010-01-04;22:00:00;1.23;286.5;2.75
2010-01-04;23:00:00;1.23;241.5;5.93
2010-01-05;00:00:00;1.23;250.5;6.07
2010-01-05;01:00:00;1.24;246.0;5.14
2010-01-05;02:00:00;1.24;246.0;4.83
2010-01-05;03:00:00;1.24;244.5;3.35
2010-01-05;04:00:00;1.25;261.0;2.61
2010-01-05;05:00:00;1.25;124.5;2.49
2010-01-05;06:00:00;1.25;303.0;1.48
2010-01-05;07:00:00;1.25;309.0;2.7
2010-01-05;08:00:00;1.25;306.0;3.86
2010-01-05;09:00:00;1.25;288.0;4.57
2010-01-05;10:00:00;1.25;291.0;4.54
2010-01-05;11:00:00;1.25;300.0;4.64
2010-01-05;12:00:00;1.24;301.5;3.49
2010-01-05;13:00:00;1.24;304.5;2.4
2010-01-05;14:00:00;1.24;234.0;5.15
2010-01-05;15:00:00;1.24;250.5;7.67
2010-01-05;16:00:00;1.24;259.5;3.6
2010-01-05;17:00:00;1.23;253.5;7.85
2010-01-05;18:00:00;1.23;253.5;7.53
2010-01-05;19:00:00;1.24;246.0;7.39
2010-01-05;20:00:00;1.24;241.5;7.74
2010-01-05;21:00:00;1.24;265.5;4.81
2010-01-05;22:00:00;1.24;271.5;4.44
2010-01-05;23:00:00;1.25;246.0;4.51
2010-01-06;00:00:00;1.25;264.0;3.47
2010-01-06;01:00:00;1.25;291.0;4.11
2010-01-06;02:00:00;1.25;309.0;3.96
2010-01-06;03:00:00;1.25;315.0;3.92
2010-01-06;04:00:00;1.25;309.0;5.04
2010-01-06;05:00:00;1.25;303.0;4.15
2010-01-06;06:00:00;1.25;304.5;4.75
2010-01-06;07:00:00;1.25;312.0;4.12
2010-01-06;08:00:00;1.25;328.5;4.45
2010-01-06;09:00:00;1.25;327.0;5.17
2010-01-06;10:00:00;1.25;334.5;4.93
2010-01-06;11:00:00;1.25;328.5;5.01
2010-01-06;12:00:00;1.25;325.5;4.16
2010-01-06;13:00:00;1.24;325.5;3.42
2010-01-06;14:00:00;1.24;334.5;4.03
2010-01-06;15:00:00;1.24;358.5;2.13
2010-01-06;16:00:00;1.24;351.0;3.88
2010-01-06;17:00:00;1.23;358.5;3.91
2010-01-06;18:00:00;1.24;6.0;4.85
2010-01-06;19:00:00;1.24;337.5;1.92
2010-01-06;20:00:00;1.23;247.5;3.99
2010-01-06;21:00:00;1.23;256.5;5.95
2010-01-06;22:00:00;1.24;280.5;5.8
2010-01-06;23:00:00;1.24;295.5;4.7
2010-01-07;00:00:00;1.24;298.5;6.11
2010-01-07;01:00:00;1.25;309.0;5.37
2010-01-07;02:00:00;1.25;301.5;4.86
2010-01-07;03:00:00;1.25;303.0;4.85
2010-01-07;04:00:00;1.25;321.0;4.66
2010-01-07;05:00:00;1.25;339.0;4.33
2010-01-07;06:00:00;1.25;342.0;5.58
2010-01-07;07:00:00;1.25;343.5;6.53
2010-01-07;08:00:00;1.24;354.0;6.54
2010-01-07;09:00:00;1.24;346.5;6.42
2010-01-07;10:00:00;1.24;349.5;6.92
2010-01-07;11:00:00;1.24;348.0;7.53
2010-01-07;12:00:00;1.24;355.5;7.14
2010-01-07;13:00:00;1.24;357.0;8.1
2010-01-07;14:00:00;1.23;357.0;10.79
2010-01-07;15:00:00;1.23;355.5;11.49
2010-01-07;16:00:00;1.23;354.0;11.6
2010-01-07;17:00:00;1.23;358.5;11.46
2010-01-07;18:00:00;1.22;349.5;10.35
2010-01-07;19:00:00;1.22;336.0;11.89
2010-01-07;20:00:00;1.22;337.5;9.86
2010-01-07;21:00:00;1.22;324.0;9.5
2010-01-07;22:00:00;1.23;343.5;8.75
2010-01-07;23:00:00;1.23;349.5;10.09
2010-01-08;00:00:00;1.23;340.5;10.69
