Date;Hour;Wind_speed;Energy
2010-04-01;00:00:00;3.08;0.53
2010-04-01;01:00:00;3.15;0.59
2010-04-01;02:00:00;4.84;2.28
2010-04-01;03:00:00;5.22;3.08
2010-04-01;04:00:00;5.86;4.41
2010-04-01;05:00:00;6.29;4.92
2010-04-01;06:00:00;7.74;8.48
2010-04-01;07:00:00;8.47;10.57
2010-04-01;08:00:00;6.47;5.3
2010-04-01;09:00:00;6.54;5.3
2010-04-01;10:00:00;5.54;3.65
2010-04-01;11:00:00;4.89;2.39
2010-04-01;12:00:00;9.17;12.37
2010-04-01;13:00:00;7.64;8.22
2010-04-01;14:00:00;6.95;6.75
2010-04-01;15:00:00;4.01;1.3
2010-04-01;16:00:00;6.74;5.79
2010-04-01;17:00:00;5.46;3.68
2010-04-01;18:00:00;8.79;11.37
2010-04-01;19:00:00;6.15;4.65
2010-04-01;20:00:00;7.01;6.75
2010-04-01;21:00:00;7.64;8.22
2010-04-01;22:00:00;7.04;6.75
2010-04-01;23:00:00;7.39;7.75
2010-04-02;00:00:00;3.71;1.07
2010-04-02;01:00:00;6.25;4.96
2010-04-02;02:00:00;4.39;1.63
2010-04-02;03:00:00;2.35;0.19
2010-04-02;04:00:00;3.24;0.6
2010-04-02;05:00:00;3.89;1.21
2010-04-02;06:00:00;5.33;3.27
2010-04-02;07:00:00;5.15;2.94
2010-04-02;08:00:00;5.03;2.74
2010-04-02;09:00:00;3.73;1.08
2010-04-02;10:00:00;4.46;1.76
2010-04-02;11:00:00;3.98;1.32
2010-04-02;12:00:00;3.47;0.87
2010-04-02;13:00:00;6.58;5.72
2010-04-02;14:00:00;3.6;0.96
2010-04-02;15:00:00;3.38;0.76
2010-04-02;16:00:00;6.67;5.94
2010-04-02;17:00:00;6.49;5.39
2010-04-02;18:00:00;7.85;8.8
2010-04-02;19:00:00;7.69;8.55
2010-04-02;20:00:00;9.42;13.2
2010-04-02;21:00:00;7.99;9.33
2010-04-02;22:00:00;4.73;2.04
2010-04-02;23:00:00;2.76;0.39
2010-04-03;00:00:00;4.35;1.65
2010-04-03;01:00:00;3.4;0.76
2010-04-03;02:00:00;3.18;0.6
2010-04-03;03:00:00;1.96;0.04
2010-04-03;04:00:00;2.39;0.24
2010-04-03;05:00:00;0.74;0.0
2010-04-03;06:00:00;1.63;0.0
2010-04-03;07:00:00;1.99;0.04
2010-04-03;08:00:00;3.58;0.98
2010-04-03;09:00:00;3.57;0.98
2010-04-03;10:00:00;1.5;0.0
2010-04-03;11:00:00;1.17;0.0
2010-04-03;12:00:00;0.88;0.0
2010-04-03;13:00:00;1.12;0.0
2010-04-03;14:00:00;1.12;0.0
2010-04-03;15:00:00;0.68;0.0
2010-04-03;16:00:00;2.04;0.04
2010-04-03;17:00:00;1.84;0.0
2010-04-03;18:00:00;1.97;0.04
2010-04-03;19:00:00;2.18;0.14
2010-04-03;20:00:00;2.89;0.44
2010-04-03;21:00:00;2.38;0.24
2010-04-03;22:00:00;1.51;0.0
2010-04-03;23:00:00;2.36;0.24
2010-04-04;00:00:00;1.67;0.0
2010-04-04;01:00:00;1.24;0.0
2010-04-04;02:00:00;2.42;0.24
2010-04-04;03:00:00;2.31;0.19
2010-04-04;04:00:00;1.01;0.0
2010-04-04;05:00:00;1.17;0.0
2010-04-04;06:00:00;2.08;0.08
2010-04-04;07:00:00;2.0;0.04
2010-04-04;08:00:00;2.1;0.08
2010-04-04;09:00:00;2.44;0.24
2010-04-04;10:00:00;2.76;0.4
2010-04-04;11:00:00;2.32;0.19
2010-04-04;12:00:00;1.99;0.04
2010-04-04;13:00:00;1.79;0.0
2010-04-04;14:00:00;1.63;0.0
2010-04-04;15:00:00;1.83;0.0
2010-04-04;16:00:00;1.5;0.0
2010-04-04;17:00:00;1.8;0.0
2010-04-04;18:00:00;2.28;0.19
2010-04-04;19:00:00;2.25;0.18
2010-04-04;20:00:00;2.3;0.18
2010-04-04;21:00:00;2.21;0.14
2010-04-04;22:00:00;2.66;0.35
2010-04-04;23:00:00;2.97;0.49
2010-04-05;00:00:00;2.99;0.49
2010-04-05;01:00:00;3.51;0.87
2010-04-05;02:00:00;3.22;0.6
2010-04-05;03:00:00;3.28;0.68
2010-04-05;04:00:00;3.12;0.54
2010-04-05;05:00:00;2.27;0.19
2010-04-05;06:00:00;1.37;0.0
2010-04-05;07:00:00;2.23;0.14
2010-04-05;08:00:00;2.39;0.24
2010-04-05;09:00:00;1.92;0.02
2010-04-05;10:00:00;1.14;0.0
2010-04-05;11:00:00;1.22;0.0
2010-04-05;12:00:00;1.45;0.0
2010-04-05;13:00:00;1.24;0.0
2010-04-05;14:00:00;0.51;0.0
2010-04-05;15:00:00;1.25;0.0
2010-04-05;16:00:00;1.02;0.0
2010-04-05;17:00:00;1.38;0.0
2010-04-05;18:00:00;1.28;0.0
2010-04-05;19:00:00;2.34;0.18
2010-04-05;20:00:00;2.19;0.13
2010-04-05;21:00:00;0.9;0.0
2010-04-05;22:00:00;1.32;0.0
2010-04-05;23:00:00;1.85;0.02
2010-04-06;00:00:00;2.11;0.08
2010-04-06;01:00:00;2.34;0.18
