Date;Hour;Wind_speed;Energy
2010-08-01;00:00:00;0.48;0.0
2010-08-01;01:00:00;0.93;0.0
2010-08-01;02:00:00;3.99;1.33
2010-08-01;03:00:00;2.09;0.08
2010-08-01;04:00:00;1.38;0.0
2010-08-01;05:00:00;1.04;0.0
2010-08-01;06:00:00;0.75;0.0
2010-08-01;07:00:00;0.76;0.0
2010-08-01;08:00:00;1.13;0.0
2010-08-01;09:00:00;1.22;0.0
2010-08-01;10:00:00;1.4;0.0
2010-08-01;11:00:00;1.99;0.04
2010-08-01;12:00:00;1.49;0.0
2010-08-01;13:00:00;1.6;0.0
2010-08-01;14:00:00;1.22;0.0
2010-08-01;15:00:00;1.05;0.0
2010-08-01;16:00:00;0.85;0.0
2010-08-01;17:00:00;0.91;0.0
2010-08-01;18:00:00;0.88;0.0
2010-08-01;19:00:00;1.27;0.0
2010-08-01;20:00:00;1.67;0.0
2010-08-01;21:00:00;1.8;0.0
2010-08-01;22:00:00;3.19;0.61
2010-08-01;23:00:00;3.01;0.5
2010-08-02;00:00:00;1.96;0.04
2010-08-02;01:00:00;2.26;0.19
2010-08-02;02:00:00;1.82;0.0
2010-08-02;03:00:00;1.52;0.0
2010-08-02;04:00:00;2.44;0.25
2010-08-02;05:00:00;2.56;0.33
2010-08-02;06:00:00;2.6;0.33
2010-08-02;07:00:00;2.8;0.41
2010-08-02;08:00:00;3.39;0.79
2010-08-02;09:00:00;3.16;0.62
2010-08-02;10:00:00;2.45;0.29
2010-08-02;11:00:00;2.16;0.14
2010-08-02;12:00:00;3.31;0.7
2010-08-02;13:00:00;2.38;0.24
2010-08-02;14:00:00;2.0;0.04
2010-08-02;15:00:00;1.62;0.0
2010-08-02;16:00:00;2.24;0.14
2010-08-02;17:00:00;2.61;0.33
2010-08-02;18:00:00;2.24;0.14
2010-08-02;19:00:00;2.82;0.4
2010-08-02;20:00:00;2.09;0.08
2010-08-02;21:00:00;1.15;0.0
2010-08-02;22:00:00;1.18;0.0
2010-08-02;23:00:00;1.97;0.04
2010-08-03;00:00:00;3.44;0.79
2010-08-03;01:00:00;2.45;0.28
2010-08-03;02:00:00;2.55;0.29
2010-08-03;03:00:00;2.06;0.08
2010-08-03;04:00:00;1.81;0.0
2010-08-03;05:00:00;2.89;0.46
2010-08-03;06:00:00;2.62;0.33
2010-08-03;07:00:00;2.38;0.25
2010-08-03;08:00:00;2.12;0.08
2010-08-03;09:00:00;1.86;0.02
2010-08-03;10:00:00;2.81;0.41
2010-08-03;11:00:00;2.76;0.41
2010-08-03;12:00:00;1.0;0.0
2010-08-03;13:00:00;1.32;0.0
2010-08-03;14:00:00;1.98;0.04
2010-08-03;15:00:00;1.88;0.02
2010-08-03;16:00:00;1.04;0.0
2010-08-03;17:00:00;1.34;0.0
2010-08-03;18:00:00;1.59;0.0
2010-08-03;19:00:00;2.2;0.14
2010-08-03;20:00:00;1.06;0.0
2010-08-03;21:00:00;1.95;0.02
2010-08-03;22:00:00;3.49;0.9
2010-08-03;23:00:00;3.53;0.9
2010-08-04;00:00:00;3.36;0.79
2010-08-04;01:00:00;3.14;0.56
2010-08-04;02:00:00;2.92;0.46
2010-08-04;03:00:00;2.77;0.41
2010-08-04;04:00:00;2.46;0.29
2010-08-04;05:00:00;3.31;0.7
2010-08-04;06:00:00;3.91;1.27
2010-08-04;07:00:00;3.24;0.63
2010-08-04;08:00:00;2.01;0.04
2010-08-04;09:00:00;2.97;0.51
2010-08-04;10:00:00;4.1;1.46
2010-08-04;11:00:00;3.75;1.11
2010-08-04;12:00:00;3.35;0.8
2010-08-04;13:00:00;2.61;0.33
2010-08-04;14:00:00;0.11;0.0
2010-08-04;15:00:00;0.95;0.0
2010-08-04;16:00:00;3.51;0.91
2010-08-04;17:00:00;2.58;0.32
2010-08-04;18:00:00;3.71;1.1
2010-08-04;19:00:00;3.51;0.89
2010-08-04;20:00:00;3.4;0.78
2010-08-04;21:00:00;3.56;0.98
2010-08-04;22:00:00;4.84;2.36
2010-08-04;23:00:00;5.87;4.59
2010-08-05;00:00:00;6.95;7.08
2010-08-05;01:00:00;8.97;12.43
2010-08-05;02:00:00;7.64;8.62
2010-08-05;03:00:00;8.4;10.82
2010-08-05;04:00:00;8.4;10.9
2010-08-05;05:00:00;9.62;14.5
2010-08-05;06:00:00;8.24;10.21
2010-08-05;07:00:00;10.5;16.95
2010-08-05;08:00:00;10.71;17.45
2010-08-05;09:00:00;11.12;18.21
2010-08-05;10:00:00;9.41;13.83
2010-08-05;11:00:00;9.11;12.86
2010-08-05;12:00:00;11.01;18.13
2010-08-05;13:00:00;12.73;18.49
2010-08-05;14:00:00;10.02;15.79
2010-08-05;15:00:00;15.15;17.69
2010-08-05;16:00:00;13.11;18.01
2010-08-05;17:00:00;8.78;11.74
2010-08-05;18:00:00;4.69;2.07
2010-08-05;19:00:00;5.82;4.3
2010-08-05;20:00:00;6.05;4.76
2010-08-05;21:00:00;5.87;4.52
