Date;Hour;Wind_speed;Energy
2010-12-01;00:00:00;12.73;17.78
2010-12-01;01:00:00;12.44;17.93
2010-12-01;02:00:00;10.48;16.43
2010-12-01;03:00:00;10.27;15.99
2010-12-01;04:00:00;11.06;17.65
2010-12-01;05:00:00;10.4;16.2
2010-12-01;06:00:00;9.71;14.39
2010-12-01;07:00:00;10.33;15.99
2010-12-01;08:00:00;7.48;8.12
2010-12-01;09:00:00;3.86;1.22
2010-12-01;10:00:00;4.29;1.54
2010-12-01;11:00:00;5.58;3.91
2010-12-01;12:00:00;4.25;1.46
2010-12-01;13:00:00;5.34;3.3
2010-12-01;14:00:00;3.19;0.6
2010-12-01;15:00:00;9.13;12.36
2010-12-01;16:00:00;7.91;9.15
2010-12-01;17:00:00;8.96;11.95
2010-12-01;18:00:00;8.3;10.08
2010-12-01;19:00:00;5.29;3.25
2010-12-01;20:00:00;8.99;11.95
2010-12-01;21:00:00;8.38;10.4
2010-12-01;22:00:00;7.38;7.75
2010-12-01;23:00:00;6.74;5.89
2010-12-02;00:00:00;7.22;7.2
2010-12-02;01:00:00;5.69;4.05
2010-12-02;02:00:00;4.82;2.27
2010-12-02;03:00:00;4.66;2.02
2010-12-02;04:00:00;5.05;2.89
2010-12-02;05:00:00;5.02;2.7
2010-12-02;06:00:00;4.83;2.27
2010-12-02;07:00:00;4.84;2.27
2010-12-02;08:00:00;4.03;1.3
2010-12-02;09:00:00;3.58;0.94
2010-12-02;10:00:00;4.21;1.43
2010-12-02;11:00:00;1.88;0.02
2010-12-02;12:00:00;2.91;0.44
2010-12-02;13:00:00;3.32;0.68
2010-12-02;14:00:00;2.78;0.39
2010-12-02;15:00:00;1.53;0.0
2010-12-02;16:00:00;6.19;4.87
2010-12-02;17:00:00;6.51;5.34
2010-12-02;18:00:00;6.88;6.48
2010-12-02;19:00:00;7.48;7.92
2010-12-02;20:00:00;8.35;10.0
2010-12-02;21:00:00;4.54;1.74
2010-12-02;22:00:00;4.82;2.28
2010-12-02;23:00:00;3.43;0.75
2010-12-03;00:00:00;6.5;5.34
2010-12-03;01:00:00;6.25;4.96
2010-12-03;02:00:00;5.55;3.68
2010-12-03;03:00:00;4.59;1.91
2010-12-03;04:00:00;4.9;2.45
2010-12-03;05:00:00;5.73;4.11
2010-12-03;06:00:00;6.14;4.76
2010-12-03;07:00:00;4.33;1.54
2010-12-03;08:00:00;4.77;2.32
2010-12-03;09:00:00;5.46;3.74
2010-12-03;10:00:00;4.83;2.32
2010-12-03;11:00:00;5.87;4.52
2010-12-03;12:00:00;4.64;1.93
2010-12-03;13:00:00;4.29;1.54
2010-12-03;14:00:00;1.64;0.0
2010-12-03;15:00:00;8.39;10.48
2010-12-03;16:00:00;8.25;10.16
2010-12-03;17:00:00;5.19;3.13
2010-12-03;18:00:00;5.75;4.11
2010-12-03;19:00:00;6.84;6.17
2010-12-03;20:00:00;4.54;1.75
2010-12-03;21:00:00;6.54;5.34
2010-12-03;22:00:00;7.02;6.8
2010-12-03;23:00:00;7.21;7.26
2010-12-04;00:00:00;7.14;7.02
2010-12-04;01:00:00;7.75;8.8
2010-12-04;02:00:00;8.19;9.89
2010-12-04;03:00:00;8.51;10.75
2010-12-04;04:00:00;6.25;5.0
2010-12-04;05:00:00;6.33;5.04
2010-12-04;06:00:00;5.9;4.52
2010-12-04;07:00:00;6.31;5.04
2010-12-04;08:00:00;7.29;7.55
2010-12-04;09:00:00;6.39;5.2
2010-12-04;10:00:00;5.21;3.13
2010-12-04;11:00:00;6.93;6.58
2010-12-04;12:00:00;3.52;0.87
2010-12-04;13:00:00;3.94;1.21
2010-12-04;14:00:00;5.21;3.13
2010-12-04;15:00:00;3.86;1.2
2010-12-04;16:00:00;3.45;0.76
2010-12-04;17:00:00;4.39;1.63
2010-12-04;18:00:00;4.59;1.89
2010-12-04;19:00:00;4.59;1.89
2010-12-04;20:00:00;2.37;0.23
2010-12-04;21:00:00;3.04;0.49
2010-12-04;22:00:00;3.93;1.2
2010-12-04;23:00:00;3.28;0.67
2010-12-05;00:00:00;1.82;0.0
2010-12-05;01:00:00;3.24;0.59
2010-12-05;02:00:00;2.28;0.19
2010-12-05;03:00:00;1.26;0.0
2010-12-05;04:00:00;1.48;0.0
2010-12-05;05:00:00;1.85;0.02
2010-12-05;06:00:00;1.21;0.0
2010-12-05;07:00:00;0.81;0.0
2010-12-05;08:00:00;0.29;0.0
2010-12-05;09:00:00;2.81;0.39
2010-12-05;10:00:00;4.14;1.38
2010-12-05;11:00:00;4.97;2.72
2010-12-05;12:00:00;5.6;3.85
2010-12-05;13:00:00;6.97;6.86
2010-12-05;14:00:00;7.15;7.32
2010-12-05;15:00:00;6.65;5.72
2010-12-05;16:00:00;7.2;7.32
2010-12-05;17:00:00;7.24;7.26
2010-12-05;18:00:00;8.89;11.69
2010-12-05;19:00:00;9.43;13.2
2010-12-05;20:00:00;7.86;9.08
2010-12-05;21:00:00;8.88;11.6
2010-12-05;22:00:00;9.04;11.86
2010-12-05;23:00:00;9.08;12.16
2010-12-06;00:00:00;9.43;13.2
2010-12-06;01:00:00;10.98;17.3
2010-12-06;02:00:00;8.81;11.47
2010-12-06;03:00:00;8.17;9.89
2010-12-06;04:00:00;7.21;7.38
2010-12-06;05:00:00;6.76;6.27
2010-12-06;06:00:00;6.1;4.76
2010-12-06;07:00:00;5.8;4.33
2010-12-06;08:00:00;3.97;1.34
2010-12-06;09:00:00;4.59;1.94
2010-12-06;10:00:00;4.27;1.55
2010-12-06;11:00:00;4.65;2.07
2010-12-06;12:00:00;3.61;0.98
2010-12-06;13:00:00;5.29;3.3
2010-12-06;14:00:00;2.23;0.14
2010-12-06;15:00:00;1.64;0.0
2010-12-06;16:00:00;2.55;0.27
2010-12-06;17:00:00;2.26;0.19
2010-12-06;18:00:00;5.16;3.13
2010-12-06;19:00:00;5.08;2.94
2010-12-06;20:00:00;4.23;1.45
2010-12-06;21:00:00;2.87;0.44
2010-12-06;22:00:00;4.39;1.63
2010-12-06;23:00:00;5.63;3.85
2010-12-07;00:00:00;5.86;4.45
2010-12-07;01:00:00;2.22;0.14
2010-12-07;02:00:00;2.67;0.35
2010-12-07;03:00:00;5.02;2.72
2010-12-07;04:00:00;5.62;3.85
2010-12-07;05:00:00;3.91;1.2
2010-12-07;06:00:00;2.99;0.49
2010-12-07;07:00:00;3.46;0.86
2010-12-07;08:00:00;2.59;0.31
2010-12-07;09:00:00;2.85;0.39
2010-12-07;10:00:00;3.03;0.49
2010-12-07;11:00:00;2.41;0.23
2010-12-07;12:00:00;2.6;0.31
2010-12-07;13:00:00;1.56;0.0
2010-12-07;14:00:00;2.1;0.08
2010-12-07;15:00:00;1.49;0.0
2010-12-07;16:00:00;5.96;4.53
2010-12-07;17:00:00;9.15;12.16
2010-12-07;18:00:00;7.81;8.73
2010-12-07;19:00:00;6.47;5.3
2010-12-07;20:00:00;5.37;3.37
2010-12-07;21:00:00;7.33;7.43
2010-12-07;22:00:00;8.32;10.0
2010-12-07;23:00:00;5.92;4.41
2010-12-08;00:00:00;6.73;5.84
2010-12-08;01:00:00;6.27;4.92
2010-12-08;02:00:00;6.09;4.65
2010-12-08;03:00:00;7.25;7.26
2010-12-08;04:00:00;8.88;11.69
