Date;Hour;Wind_speed;Energy
2010-02-01;00:00:00;5.29;3.25
2010-02-01;01:00:00;6.21;4.83
2010-02-01;02:00:00;6.32;4.92
2010-02-01;03:00:00;5.46;3.65
2010-02-01;04:00:00;5.44;3.39
2010-02-01;05:00:00;5.47;3.65
2010-02-01;06:00:00;4.09;1.37
2010-02-01;07:00:00;4.46;1.74
2010-02-01;08:00:00;5.23;3.11
2010-02-01;09:00:00;5.17;3.11
2010-02-01;10:00:00;6.31;4.96
2010-02-01;11:00:00;5.43;3.39
2010-02-01;12:00:00;5.79;4.23
2010-02-01;13:00:00;4.63;1.89
2010-02-01;14:00:00;5.85;4.41
2010-02-01;15:00:00;8.83;11.37
2010-02-01;16:00:00;9.06;12.16
2010-02-01;17:00:00;8.41;10.31
2010-02-01;18:00:00;7.52;7.86
2010-02-01;19:00:00;9.12;12.07
2010-02-01;20:00:00;7.22;7.2
2010-02-01;21:00:00;7.28;7.43
2010-02-01;22:00:00;3.67;1.06
2010-02-01;23:00:00;5.09;2.89
2010-02-02;00:00:00;3.62;0.94
2010-02-02;01:00:00;3.17;0.59
2010-02-02;02:00:00;4.53;1.74
2010-02-02;03:00:00;4.66;2.04
2010-02-02;04:00:00;2.84;0.39
2010-02-02;05:00:00;3.41;0.76
2010-02-02;06:00:00;3.89;1.2
2010-02-02;07:00:00;4.21;1.44
2010-02-02;08:00:00;4.2;1.44
2010-02-02;09:00:00;3.87;1.2
2010-02-02;10:00:00;4.06;1.38
2010-02-02;11:00:00;4.19;1.44
2010-02-02;12:00:00;3.1;0.53
2010-02-02;13:00:00;3.52;0.86
2010-02-02;14:00:00;4.47;1.74
2010-02-02;15:00:00;4.83;2.27
2010-02-02;16:00:00;4.35;1.62
2010-02-02;17:00:00;4.72;2.01
2010-02-02;18:00:00;3.29;0.66
2010-02-02;19:00:00;1.77;0.0
2010-02-02;20:00:00;1.36;0.0
2010-02-02;21:00:00;1.91;0.02
2010-02-02;22:00:00;1.94;0.02
2010-02-02;23:00:00;2.49;0.27
2010-02-03;00:00:00;1.95;0.02
2010-02-03;01:00:00;6.18;4.79
2010-02-03;02:00:00;3.54;0.86
2010-02-03;03:00:00;4.65;2.02
2010-02-03;04:00:00;3.48;0.86
2010-02-03;05:00:00;5.13;2.89
2010-02-03;06:00:00;5.06;2.92
2010-02-03;07:00:00;4.27;1.52
2010-02-03;08:00:00;3.74;1.07
2010-02-03;09:00:00;3.43;0.76
2010-02-03;10:00:00;4.35;1.63
2010-02-03;11:00:00;4.76;2.28
2010-02-03;12:00:00;4.54;1.75
2010-02-03;13:00:00;2.94;0.44
2010-02-03;14:00:00;3.64;0.95
