Date;Hour;Wind_speed;Energy
2010-07-01;00:00:00;2.87;0.43
2010-07-01;01:00:00;2.09;0.08
2010-07-01;02:00:00;0.55;0.0
2010-07-01;03:00:00;2.98;0.48
2010-07-01;04:00:00;3.68;1.05
2010-07-01;05:00:00;4.87;2.39
2010-07-01;06:00:00;4.41;1.62
2010-07-01;07:00:00;9.49;13.4
2010-07-01;08:00:00;10.06;15.16
2010-07-01;09:00:00;7.63;8.22
2010-07-01;10:00:00;5.19;3.08
2010-07-01;11:00:00;6.92;6.48
2010-07-01;12:00:00;4.89;2.41
2010-07-01;13:00:00;3.52;0.86
2010-07-01;14:00:00;3.49;0.86
2010-07-01;15:00:00;3.94;1.2
2010-07-01;16:00:00;2.33;0.18
2010-07-01;17:00:00;2.92;0.44
2010-07-01;18:00:00;4.67;2.04
2010-07-01;19:00:00;4.67;2.04
2010-07-01;20:00:00;4.48;1.75
2010-07-01;21:00:00;5.49;3.68
2010-07-01;22:00:00;7.5;7.99
2010-07-01;23:00:00;7.07;7.02
2010-07-02;00:00:00;10.34;15.73
2010-07-02;01:00:00;9.88;14.92
2010-07-02;02:00:00;10.23;15.63
2010-07-02;03:00:00;9.95;15.04
2010-07-02;04:00:00;12.5;17.88
2010-07-02;05:00:00;13.78;17.24
2010-07-02;06:00:00;12.96;17.63
2010-07-02;07:00:00;14.68;17.01
2010-07-02;08:00:00;15.55;17.01
2010-07-02;09:00:00;15.26;16.87
2010-07-02;10:00:00;14.58;16.87
2010-07-02;11:00:00;15.53;16.87
2010-07-02;12:00:00;13.56;17.2
2010-07-02;13:00:00;14.87;17.01
2010-07-02;14:00:00;15.36;17.01
2010-07-02;15:00:00;14.65;17.14
2010-07-02;16:00:00;15.54;17.14
2010-07-02;17:00:00;17.02;17.14
2010-07-02;18:00:00;15.94;17.14
2010-07-02;19:00:00;17.83;17.14
2010-07-02;20:00:00;16.56;17.14
2010-07-02;21:00:00;17.96;17.14
2010-07-02;22:00:00;17.49;17.14
2010-07-02;23:00:00;17.08;17.14
2010-07-03;00:00:00;17.83;17.28
