Date;Hour;Wind_speed;Energy
2010-06-01;00:00:00;7.22;7.26
2010-06-01;01:00:00;7.54;7.99
2010-06-01;02:00:00;8.62;10.93
2010-06-01;03:00:00;6.02;4.57
2010-06-01;04:00:00;8.09;9.59
2010-06-01;05:00:00;11.36;17.57
2010-06-01;06:00:00;13.31;17.35
2010-06-01;07:00:00;12.18;17.88
2010-06-01;08:00:00;16.45;17.01
2010-06-01;09:00:00;17.45;17.01
2010-06-01;10:00:00;16.83;17.01
2010-06-01;11:00:00;16.21;17.01
2010-06-01;12:00:00;17.73;17.01
2010-06-01;13:00:00;16.53;17.01
2010-06-01;14:00:00;15.36;17.14
2010-06-01;15:00:00;9.86;14.92
2010-06-01;16:00:00;9.4;13.2
2010-06-01;17:00:00;11.33;17.5
2010-06-01;18:00:00;9.95;15.06
2010-06-01;19:00:00;7.79;8.8
2010-06-01;20:00:00;8.64;10.93
2010-06-01;21:00:00;5.54;3.68
2010-06-01;22:00:00;3.87;1.2
2010-06-01;23:00:00;4.77;2.28
2010-06-02;00:00:00;4.36;1.63
2010-06-02;01:00:00;5.4;3.42
2010-06-02;02:00:00;5.4;3.42
2010-06-02;03:00:00;4.78;2.28
2010-06-02;04:00:00;5.39;3.42
2010-06-02;05:00:00;7.49;7.92
2010-06-02;06:00:00;8.61;10.84
2010-06-02;07:00:00;9.28;12.78
2010-06-02;08:00:00;10.67;16.51
2010-06-02;09:00:00;10.26;15.61
2010-06-02;10:00:00;9.92;14.56
2010-06-02;11:00:00;5.61;3.79
2010-06-02;12:00:00;6.23;4.75
2010-06-02;13:00:00;6.0;4.49
2010-06-02;14:00:00;4.34;1.49
2010-06-02;15:00:00;2.74;0.34
2010-06-02;16:00:00;6.61;5.58
2010-06-02;17:00:00;6.36;5.08
2010-06-02;18:00:00;5.9;4.38
2010-06-02;19:00:00;4.76;2.25
2010-06-02;20:00:00;2.32;0.18
2010-06-02;21:00:00;2.42;0.23
2010-06-02;22:00:00;5.78;4.19
2010-06-02;23:00:00;4.95;2.41
2010-06-03;00:00:00;5.02;2.7
2010-06-03;01:00:00;4.18;1.44
2010-06-03;02:00:00;5.87;4.45
2010-06-03;03:00:00;7.59;8.29
2010-06-03;04:00:00;7.51;7.99
2010-06-03;05:00:00;8.16;9.81
2010-06-03;06:00:00;9.98;15.06
2010-06-03;07:00:00;11.72;17.77
2010-06-03;08:00:00;11.79;17.84
2010-06-03;09:00:00;14.66;17.01
2010-06-03;10:00:00;14.24;16.87
2010-06-03;11:00:00;13.86;16.92
2010-06-03;12:00:00;9.38;13.2
2010-06-03;13:00:00;5.3;3.25
2010-06-03;14:00:00;4.86;2.43
2010-06-03;15:00:00;4.99;2.72
2010-06-03;16:00:00;5.31;3.25
2010-06-03;17:00:00;4.03;1.31
2010-06-03;18:00:00;4.8;2.28
2010-06-03;19:00:00;4.84;2.3
2010-06-03;20:00:00;4.64;1.91
2010-06-03;21:00:00;4.52;1.76
2010-06-03;22:00:00;5.18;3.13
2010-06-03;23:00:00;4.15;1.45
2010-06-04;00:00:00;4.64;1.91
2010-06-04;01:00:00;5.39;3.45
2010-06-04;02:00:00;5.57;3.91
2010-06-04;03:00:00;6.06;4.76
2010-06-04;04:00:00;5.19;3.16
2010-06-04;05:00:00;5.8;4.26
2010-06-04;06:00:00;6.38;5.2
2010-06-04;07:00:00;6.4;5.2
2010-06-04;08:00:00;5.91;4.49
2010-06-04;09:00:00;5.95;4.45
2010-06-04;10:00:00;6.83;6.17
2010-06-04;11:00:00;8.16;9.81
2010-06-04;12:00:00;10.28;15.73
2010-06-04;13:00:00;10.96;17.16
2010-06-04;14:00:00;10.2;15.38
2010-06-04;15:00:00;10.18;15.38
2010-06-04;16:00:00;9.74;14.04
2010-06-04;17:00:00;9.64;13.72
2010-06-04;18:00:00;12.1;17.78
2010-06-04;19:00:00;10.36;15.82
2010-06-04;20:00:00;10.47;16.04
2010-06-04;21:00:00;11.22;17.43
2010-06-04;22:00:00;9.64;13.83
2010-06-04;23:00:00;11.62;17.71
2010-06-05;00:00:00;10.71;16.65
2010-06-05;01:00:00;8.61;10.93
2010-06-05;02:00:00;7.62;8.29
2010-06-05;03:00:00;7.44;7.75
2010-06-05;04:00:00;8.41;10.4
2010-06-05;05:00:00;7.49;7.99
2010-06-05;06:00:00;7.4;7.82
2010-06-05;07:00:00;6.82;6.22
2010-06-05;08:00:00;7.3;7.49
2010-06-05;09:00:00;9.19;12.68
2010-06-05;10:00:00;10.12;15.41
2010-06-05;11:00:00;11.05;17.3
2010-06-05;12:00:00;11.78;17.84
2010-06-05;13:00:00;13.08;17.44
2010-06-05;14:00:00;11.66;17.77
2010-06-05;15:00:00;11.83;17.84
2010-06-05;16:00:00;10.78;16.87
2010-06-05;17:00:00;9.42;13.09
2010-06-05;18:00:00;8.89;11.6
2010-06-05;19:00:00;8.01;9.25
2010-06-05;20:00:00;7.97;9.25
2010-06-05;21:00:00;5.11;2.89
2010-06-05;22:00:00;4.54;1.74
2010-06-05;23:00:00;6.14;4.65
2010-06-06;00:00:00;6.65;5.63
2010-06-06;01:00:00;5.68;4.05
2010-06-06;02:00:00;5.36;3.39
2010-06-06;03:00:00;8.58;10.84
2010-06-06;04:00:00;10.39;15.82
2010-06-06;05:00:00;10.28;15.61
2010-06-06;06:00:00;8.25;9.74
2010-06-06;07:00:00;7.3;7.43
2010-06-06;08:00:00;8.21;9.74
2010-06-06;09:00:00;6.86;6.48
2010-06-06;10:00:00;9.24;12.47
2010-06-06;11:00:00;5.72;4.05
2010-06-06;12:00:00;5.85;4.41
2010-06-06;13:00:00;5.29;3.22
2010-06-06;14:00:00;6.17;4.79
2010-06-06;15:00:00;4.08;1.36
2010-06-06;16:00:00;5.18;3.06
2010-06-06;17:00:00;3.27;0.66
2010-06-06;18:00:00;6.86;6.42
2010-06-06;19:00:00;5.59;3.79
2010-06-06;20:00:00;5.2;3.06
2010-06-06;21:00:00;4.61;1.86
2010-06-06;22:00:00;4.33;1.49
2010-06-06;23:00:00;2.2;0.13
2010-06-07;00:00:00;3.17;0.59
2010-06-07;01:00:00;3.23;0.59
2010-06-07;02:00:00;3.37;0.75
2010-06-07;03:00:00;2.87;0.43
2010-06-07;04:00:00;1.99;0.04
2010-06-07;05:00:00;3.43;0.76
