Date;Hour;Wind_speed;Energy
2010-03-01;00:00:00;4.25;1.43
2010-03-01;01:00:00;4.08;1.37
2010-03-01;02:00:00;5.34;3.22
2010-03-01;03:00:00;5.22;3.08
2010-03-01;04:00:00;4.78;2.27
2010-03-01;05:00:00;4.23;1.43
2010-03-01;06:00:00;5.83;4.23
2010-03-01;07:00:00;5.26;3.25
2010-03-01;08:00:00;5.3;3.25
2010-03-01;09:00:00;6.68;5.89
2010-03-01;10:00:00;6.18;4.83
2010-03-01;11:00:00;5.85;4.45
2010-03-01;12:00:00;5.57;3.85
2010-03-01;13:00:00;5.06;2.89
2010-03-01;14:00:00;4.43;1.62
2010-03-01;15:00:00;3.75;1.04
2010-03-01;16:00:00;2.93;0.43
2010-03-01;17:00:00;2.88;0.43
2010-03-01;18:00:00;2.74;0.34
2010-03-01;19:00:00;1.84;0.0
2010-03-01;20:00:00;1.31;0.0
2010-03-01;21:00:00;1.18;0.0
2010-03-01;22:00:00;1.13;0.0
2010-03-01;23:00:00;1.15;0.0
2010-03-02;00:00:00;0.39;0.0
2010-03-02;01:00:00;0.17;0.0
2010-03-02;02:00:00;0.54;0.0
2010-03-02;03:00:00;1.67;0.0
2010-03-02;04:00:00;3.49;0.85
2010-03-02;05:00:00;3.55;0.94
2010-03-02;06:00:00;3.52;0.85
2010-03-02;07:00:00;7.08;6.9
2010-03-02;08:00:00;5.73;4.02
2010-03-02;09:00:00;4.35;1.61
2010-03-02;10:00:00;5.46;3.62
2010-03-02;11:00:00;7.05;6.69
2010-03-02;12:00:00;4.83;2.25
2010-03-02;13:00:00;6.44;5.08
2010-03-02;14:00:00;3.65;0.94
2010-03-02;15:00:00;5.7;4.02
2010-03-02;16:00:00;2.24;0.13
2010-03-02;17:00:00;4.62;1.86
2010-03-02;18:00:00;3.69;1.05
2010-03-02;19:00:00;2.16;0.13
2010-03-02;20:00:00;1.8;0.0
2010-03-02;21:00:00;1.39;0.0
2010-03-02;22:00:00;1.11;0.0
2010-03-02;23:00:00;1.15;0.0
2010-03-03;00:00:00;3.69;1.06
2010-03-03;01:00:00;4.0;1.31
2010-03-03;02:00:00;4.25;1.44
2010-03-03;03:00:00;2.45;0.27
2010-03-03;04:00:00;1.59;0.0
2010-03-03;05:00:00;0.97;0.0
2010-03-03;06:00:00;2.01;0.04
2010-03-03;07:00:00;2.56;0.31
2010-03-03;08:00:00;3.3;0.67
2010-03-03;09:00:00;2.94;0.44
2010-03-03;10:00:00;3.51;0.87
2010-03-03;11:00:00;3.55;0.96
2010-03-03;12:00:00;3.52;0.87
2010-03-03;13:00:00;4.22;1.45
2010-03-03;14:00:00;5.81;4.23
2010-03-03;15:00:00;6.29;4.96
2010-03-03;16:00:00;6.52;5.34
2010-03-03;17:00:00;6.09;4.68
2010-03-03;18:00:00;5.9;4.41
2010-03-03;19:00:00;5.63;3.82
2010-03-03;20:00:00;5.51;3.65
2010-03-03;21:00:00;5.25;3.19
2010-03-03;22:00:00;4.19;1.42
2010-03-03;23:00:00;2.83;0.39
2010-03-04;00:00:00;4.34;1.5
2010-03-04;01:00:00;5.12;2.92
2010-03-04;02:00:00;5.02;2.72
2010-03-04;03:00:00;4.81;2.28
2010-03-04;04:00:00;4.55;1.75
2010-03-04;05:00:00;4.16;1.44
2010-03-04;06:00:00;3.85;1.06
2010-03-04;07:00:00;3.84;1.06
2010-03-04;08:00:00;3.37;0.76
2010-03-04;09:00:00;2.94;0.44
2010-03-04;10:00:00;1.97;0.04
2010-03-04;11:00:00;0.9;0.0
2010-03-04;12:00:00;1.16;0.0
2010-03-04;13:00:00;1.5;0.0
2010-03-04;14:00:00;2.18;0.13
2010-03-04;15:00:00;2.42;0.23
2010-03-04;16:00:00;2.91;0.43
2010-03-04;17:00:00;3.29;0.65
2010-03-04;18:00:00;5.34;3.17
2010-03-04;19:00:00;3.99;1.28
2010-03-04;20:00:00;4.15;1.4
2010-03-04;21:00:00;5.08;2.84
2010-03-04;22:00:00;5.78;4.16
2010-03-04;23:00:00;5.54;3.62
2010-03-05;00:00:00;5.66;4.05
2010-03-05;01:00:00;4.78;2.27
2010-03-05;02:00:00;5.13;2.89
2010-03-05;03:00:00;5.31;3.25
2010-03-05;04:00:00;5.41;3.42
2010-03-05;05:00:00;3.53;0.86
2010-03-05;06:00:00;5.24;3.11
2010-03-05;07:00:00;3.56;0.95
2010-03-05;08:00:00;3.46;0.86
2010-03-05;09:00:00;1.7;0.0
2010-03-05;10:00:00;3.32;0.67
2010-03-05;11:00:00;2.53;0.27
2010-03-05;12:00:00;2.48;0.27
2010-03-05;13:00:00;2.19;0.14
2010-03-05;14:00:00;2.95;0.48
2010-03-05;15:00:00;2.18;0.13
2010-03-05;16:00:00;2.53;0.27
2010-03-05;17:00:00;1.83;0.0
2010-03-05;18:00:00;3.16;0.58
2010-03-05;19:00:00;4.58;1.86
2010-03-05;20:00:00;3.28;0.66
2010-03-05;21:00:00;2.99;0.48
2010-03-05;22:00:00;4.09;1.36
2010-03-05;23:00:00;5.37;3.37
2010-03-06;00:00:00;5.26;3.22
2010-03-06;01:00:00;3.97;1.3
2010-03-06;02:00:00;3.42;0.75
2010-03-06;03:00:00;5.13;2.89
2010-03-06;04:00:00;3.72;1.06
2010-03-06;05:00:00;2.81;0.39
2010-03-06;06:00:00;3.75;1.06
2010-03-06;07:00:00;3.75;1.06
2010-03-06;08:00:00;3.75;1.06
2010-03-06;09:00:00;2.22;0.14
2010-03-06;10:00:00;0.93;0.0
2010-03-06;11:00:00;0.85;0.0
2010-03-06;12:00:00;2.36;0.23
2010-03-06;13:00:00;0.81;0.0
2010-03-06;14:00:00;1.68;0.0
2010-03-06;15:00:00;1.32;0.0
2010-03-06;16:00:00;1.68;0.0
2010-03-06;17:00:00;1.5;0.0
2010-03-06;18:00:00;2.15;0.08
2010-03-06;19:00:00;2.02;0.04
2010-03-06;20:00:00;1.3;0.0
2010-03-06;21:00:00;0.4;0.0
2010-03-06;22:00:00;0.66;0.0
2010-03-06;23:00:00;1.37;0.0
2010-03-07;00:00:00;2.11;0.08
2010-03-07;01:00:00;2.19;0.13
2010-03-07;02:00:00;8.36;10.15
2010-03-07;03:00:00;6.16;4.71
2010-03-07;04:00:00;6.52;5.26
2010-03-07;05:00:00;6.56;5.58
2010-03-07;06:00:00;8.61;10.76
2010-03-07;07:00:00;9.72;13.93
2010-03-07;08:00:00;12.84;17.31
2010-03-07;09:00:00;11.07;17.09
2010-03-07;10:00:00;11.26;17.22
2010-03-07;11:00:00;10.33;15.48
2010-03-07;12:00:00;11.21;17.15
2010-03-07;13:00:00;9.5;13.29
2010-03-07;14:00:00;10.24;15.26
2010-03-07;15:00:00;9.4;12.98
2010-03-07;16:00:00;6.05;4.61
2010-03-07;17:00:00;6.88;6.42
2010-03-07;18:00:00;6.97;6.69
2010-03-07;19:00:00;6.32;4.88
2010-03-07;20:00:00;8.16;9.66
2010-03-07;21:00:00;8.06;9.44
2010-03-07;22:00:00;5.92;4.38
2010-03-07;23:00:00;3.96;1.29
2010-03-08;00:00:00;3.11;0.53
2010-03-08;01:00:00;3.27;0.67
2010-03-08;02:00:00;3.86;1.2
2010-03-08;03:00:00;4.53;1.75
2010-03-08;04:00:00;4.69;2.04
2010-03-08;05:00:00;4.21;1.44
2010-03-08;06:00:00;3.61;0.95
2010-03-08;07:00:00;3.26;0.68
2010-03-08;08:00:00;3.94;1.21
2010-03-08;09:00:00;3.53;0.87
2010-03-08;10:00:00;4.3;1.53
2010-03-08;11:00:00;4.63;1.91
2010-03-08;12:00:00;4.38;1.65
2010-03-08;13:00:00;4.18;1.45
2010-03-08;14:00:00;5.62;3.88
2010-03-08;15:00:00;5.84;4.26
2010-03-08;16:00:00;7.06;7.07
2010-03-08;17:00:00;5.89;4.45
2010-03-08;18:00:00;6.07;4.68
2010-03-08;19:00:00;6.41;5.16
2010-03-08;20:00:00;6.1;4.68
2010-03-08;21:00:00;5.43;3.42
2010-03-08;22:00:00;4.51;1.75
2010-03-08;23:00:00;5.0;2.72
2010-03-09;00:00:00;4.84;2.3
2010-03-09;01:00:00;4.34;1.53
2010-03-09;02:00:00;2.36;0.24
2010-03-09;03:00:00;2.03;0.04
2010-03-09;04:00:00;1.58;0.0
2010-03-09;05:00:00;0.75;0.0
2010-03-09;06:00:00;0.88;0.0
2010-03-09;07:00:00;0.64;0.0
2010-03-09;08:00:00;0.27;0.0
2010-03-09;09:00:00;0.22;0.0
2010-03-09;10:00:00;0.49;0.0
2010-03-09;11:00:00;0.66;0.0
2010-03-09;12:00:00;0.67;0.0
2010-03-09;13:00:00;1.23;0.0
2010-03-09;14:00:00;0.36;0.0
2010-03-09;15:00:00;1.27;0.0
2010-03-09;16:00:00;1.93;0.02
2010-03-09;17:00:00;2.58;0.31
2010-03-09;18:00:00;1.7;0.0
2010-03-09;19:00:00;1.61;0.0
2010-03-09;20:00:00;1.98;0.04
2010-03-09;21:00:00;1.9;0.02
2010-03-09;22:00:00;2.05;0.08
