Date;Hour;Wind_speed;Energy
2010-05-01;00:00:00;8.04;9.18
2010-05-01;01:00:00;6.55;5.58
2010-05-01;02:00:00;7.62;8.16
2010-05-01;03:00:00;10.71;16.51
2010-05-01;04:00:00;9.24;12.37
2010-05-01;05:00:00;8.51;10.49
2010-05-01;06:00:00;10.01;14.82
2010-05-01;07:00:00;9.51;13.29
2010-05-01;08:00:00;9.73;13.93
2010-05-01;09:00:00;9.96;14.82
2010-05-01;10:00:00;8.5;10.49
2010-05-01;11:00:00;8.15;9.66
2010-05-01;12:00:00;7.92;8.93
2010-05-01;13:00:00;8.55;10.49
2010-05-01;14:00:00;8.6;10.76
2010-05-01;15:00:00;10.32;15.48
2010-05-01;16:00:00;9.85;14.56
2010-05-01;17:00:00;5.01;2.68
2010-05-01;18:00:00;7.35;7.63
2010-05-01;19:00:00;6.33;4.88
2010-05-01;20:00:00;3.66;1.05
2010-05-01;21:00:00;5.52;3.62
2010-05-01;22:00:00;5.12;2.87
2010-05-01;23:00:00;0.73;0.0
2010-05-02;00:00:00;6.57;5.63
2010-05-02;01:00:00;2.51;0.27
2010-05-02;02:00:00;2.25;0.18
2010-05-02;03:00:00;4.26;1.49
2010-05-02;04:00:00;4.93;2.39
2010-05-02;05:00:00;5.48;3.62
2010-05-02;06:00:00;4.45;1.72
2010-05-02;07:00:00;4.77;2.25
2010-05-02;08:00:00;3.85;1.04
2010-05-02;09:00:00;3.93;1.19
2010-05-02;10:00:00;3.85;1.04
2010-05-02;11:00:00;6.57;5.58
2010-05-02;12:00:00;4.91;2.39
2010-05-02;13:00:00;3.92;1.19
2010-05-02;14:00:00;3.21;0.58
2010-05-02;15:00:00;5.06;2.87
2010-05-02;16:00:00;5.01;2.66
2010-05-02;17:00:00;5.51;3.59
2010-05-02;18:00:00;5.0;2.66
2010-05-02;19:00:00;4.24;1.4
2010-05-02;20:00:00;5.47;3.59
2010-05-02;21:00:00;4.48;1.72
2010-05-02;22:00:00;2.82;0.38
2010-05-02;23:00:00;2.5;0.27
2010-05-03;00:00:00;4.82;2.25
2010-05-03;01:00:00;4.57;1.88
2010-05-03;02:00:00;5.47;3.65
2010-05-03;03:00:00;5.76;4.23
2010-05-03;04:00:00;6.41;5.12
2010-05-03;05:00:00;7.86;9.08
2010-05-03;06:00:00;9.75;14.16
2010-05-03;07:00:00;8.72;11.19
2010-05-03;08:00:00;9.44;13.2
2010-05-03;09:00:00;8.62;10.93
2010-05-03;10:00:00;8.17;9.81
2010-05-03;11:00:00;8.52;10.66
2010-05-03;12:00:00;8.42;10.4
2010-05-03;13:00:00;7.49;7.99
2010-05-03;14:00:00;4.53;1.75
2010-05-03;15:00:00;3.92;1.2
2010-05-03;16:00:00;5.3;3.25
2010-05-03;17:00:00;6.91;6.53
2010-05-03;18:00:00;6.52;5.34
2010-05-03;19:00:00;6.06;4.68
2010-05-03;20:00:00;5.02;2.72
2010-05-03;21:00:00;4.99;2.72
2010-05-03;22:00:00;3.65;0.95
2010-05-03;23:00:00;4.32;1.53
2010-05-04;00:00:00;3.49;0.87
2010-05-04;01:00:00;4.04;1.32
2010-05-04;02:00:00;4.8;2.3
2010-05-04;03:00:00;5.1;2.94
