Date;Hour;Wind_speed;Energy
2010-11-01;00:00:00;6.39;5.24
2010-11-01;01:00:00;5.2;3.16
2010-11-01;02:00:00;7.49;8.12
2010-11-01;03:00:00;8.1;9.75
2010-11-01;04:00:00;8.25;9.97
2010-11-01;05:00:00;8.25;10.24
2010-11-01;06:00:00;8.28;10.24
2010-11-01;07:00:00;8.08;9.67
2010-11-01;08:00:00;7.37;7.82
2010-11-01;09:00:00;8.14;9.67
2010-11-01;10:00:00;7.15;7.32
2010-11-01;11:00:00;6.62;5.72
2010-11-01;12:00:00;5.66;4.11
2010-11-01;13:00:00;5.76;4.26
2010-11-01;14:00:00;4.58;1.91
2010-11-01;15:00:00;4.83;2.28
2010-11-01;16:00:00;5.12;2.92
2010-11-01;17:00:00;6.09;4.72
2010-11-01;18:00:00;6.19;4.83
2010-11-01;19:00:00;6.42;5.16
2010-11-01;20:00:00;5.23;3.11
2010-11-01;21:00:00;5.04;2.72
2010-11-01;22:00:00;4.88;2.43
2010-11-01;23:00:00;3.59;0.95
2010-11-02;00:00:00;6.53;5.39
2010-11-02;01:00:00;3.35;0.76
2010-11-02;02:00:00;3.88;1.21
2010-11-02;03:00:00;3.28;0.68
2010-11-02;04:00:00;4.17;1.45
2010-11-02;05:00:00;4.5;1.76
2010-11-02;06:00:00;4.32;1.53
2010-11-02;07:00:00;4.92;2.43
2010-11-02;08:00:00;4.9;2.43
2010-11-02;09:00:00;5.58;3.85
2010-11-02;10:00:00;4.64;1.89
2010-11-02;11:00:00;3.12;0.53
2010-11-02;12:00:00;2.67;0.35
2010-11-02;13:00:00;3.72;1.07
2010-11-02;14:00:00;3.76;1.07
2010-11-02;15:00:00;4.03;1.32
2010-11-02;16:00:00;3.21;0.6
2010-11-02;17:00:00;3.25;0.6
2010-11-02;18:00:00;2.82;0.39
2010-11-02;19:00:00;4.52;1.76
2010-11-02;20:00:00;6.18;4.83
2010-11-02;21:00:00;7.27;7.49
2010-11-02;22:00:00;6.77;6.17
2010-11-02;23:00:00;6.28;5.0
2010-11-03;00:00:00;6.66;5.94
2010-11-03;01:00:00;6.24;4.87
2010-11-03;02:00:00;6.02;4.6
2010-11-03;03:00:00;6.19;4.87
2010-11-03;04:00:00;5.71;4.11
2010-11-03;05:00:00;5.77;4.26
2010-11-03;06:00:00;7.59;8.36
2010-11-03;07:00:00;6.65;5.72
2010-11-03;08:00:00;6.17;4.87
2010-11-03;09:00:00;5.56;3.88
2010-11-03;10:00:00;6.01;4.6
2010-11-03;11:00:00;4.84;2.3
2010-11-03;12:00:00;5.74;4.11
2010-11-03;13:00:00;5.02;2.74
2010-11-03;14:00:00;3.32;0.68
2010-11-03;15:00:00;3.08;0.53
2010-11-03;16:00:00;2.99;0.49
2010-11-03;17:00:00;8.08;9.51
2010-11-03;18:00:00;7.67;8.48
2010-11-03;19:00:00;10.19;15.38
2010-11-03;20:00:00;10.06;15.16
2010-11-03;21:00:00;9.2;12.37
2010-11-03;22:00:00;8.62;10.76
2010-11-03;23:00:00;9.38;13.09
2010-11-04;00:00:00;8.18;9.74
2010-11-04;01:00:00;5.75;4.05
2010-11-04;02:00:00;4.95;2.41
2010-11-04;03:00:00;4.68;2.02
2010-11-04;04:00:00;4.25;1.44
2010-11-04;05:00:00;3.33;0.67
2010-11-04;06:00:00;2.83;0.39
2010-11-04;07:00:00;2.22;0.13
2010-11-04;08:00:00;1.69;0.0
2010-11-04;09:00:00;0.47;0.0
2010-11-04;10:00:00;0.96;0.0
2010-11-04;11:00:00;0.8;0.0
2010-11-04;12:00:00;2.11;0.08
2010-11-04;13:00:00;3.59;0.94
2010-11-04;14:00:00;4.84;2.27
2010-11-04;15:00:00;5.45;3.65
2010-11-04;16:00:00;5.64;3.82
2010-11-04;17:00:00;5.21;3.08
2010-11-04;18:00:00;5.8;4.16
2010-11-04;19:00:00;6.35;4.88
2010-11-04;20:00:00;5.84;4.19
2010-11-04;21:00:00;5.54;3.65
2010-11-04;22:00:00;5.75;4.05
2010-11-04;23:00:00;4.14;1.38
2010-11-05;00:00:00;4.8;2.28
2010-11-05;01:00:00;6.34;5.0
2010-11-05;02:00:00;6.49;5.39
2010-11-05;03:00:00;7.4;7.82
2010-11-05;04:00:00;8.22;9.97
2010-11-05;05:00:00;9.57;14.05
2010-11-05;06:00:00;10.3;15.99
2010-11-05;07:00:00;8.87;11.88
2010-11-05;08:00:00;11.68;18.06
2010-11-05;09:00:00;13.66;17.43
2010-11-05;10:00:00;15.09;17.28
2010-11-05;11:00:00;13.8;17.38
2010-11-05;12:00:00;12.75;17.92
2010-11-05;13:00:00;13.58;17.62
2010-11-05;14:00:00;13.56;17.48
2010-11-05;15:00:00;12.45;18.02
2010-11-05;16:00:00;12.02;18.27
2010-11-05;17:00:00;11.62;17.99
2010-11-05;18:00:00;10.51;16.3
2010-11-05;19:00:00;10.09;15.41
2010-11-05;20:00:00;8.33;10.16
2010-11-05;21:00:00;6.75;6.22
2010-11-05;22:00:00;6.88;6.58
2010-11-05;23:00:00;6.86;6.53
2010-11-06;00:00:00;5.83;4.23
2010-11-06;01:00:00;5.25;3.27
2010-11-06;02:00:00;5.91;4.49
2010-11-06;03:00:00;6.02;4.6
2010-11-06;04:00:00;6.71;5.94
2010-11-06;05:00:00;6.01;4.6
2010-11-06;06:00:00;5.7;4.11
2010-11-06;07:00:00;5.02;2.74
2010-11-06;08:00:00;4.74;2.06
2010-11-06;09:00:00;4.68;2.06
2010-11-06;10:00:00;4.12;1.39
2010-11-06;11:00:00;1.6;0.0
2010-11-06;12:00:00;2.49;0.27
2010-11-06;13:00:00;1.27;0.0
2010-11-06;14:00:00;0.53;0.0
2010-11-06;15:00:00;2.32;0.18
2010-11-06;16:00:00;3.7;1.07
2010-11-06;17:00:00;3.02;0.49
2010-11-06;18:00:00;6.53;5.34
2010-11-06;19:00:00;9.42;13.09
2010-11-06;20:00:00;6.84;6.12
2010-11-06;21:00:00;6.35;4.92
2010-11-06;22:00:00;6.33;4.92
2010-11-06;23:00:00;9.54;13.4
2010-11-07;00:00:00;9.95;14.94
2010-11-07;01:00:00;10.19;15.38
2010-11-07;02:00:00;9.24;12.47
2010-11-07;03:00:00;9.84;14.36
2010-11-07;04:00:00;9.32;12.78
2010-11-07;05:00:00;8.24;9.74
2010-11-07;06:00:00;9.41;13.09
2010-11-07;07:00:00;9.12;12.16
2010-11-07;08:00:00;8.27;10.0
2010-11-07;09:00:00;8.46;10.57
2010-11-07;10:00:00;7.35;7.69
2010-11-07;11:00:00;8.36;10.31
2010-11-07;12:00:00;8.8;11.37
2010-11-07;13:00:00;7.11;6.96
2010-11-07;14:00:00;7.32;7.43
2010-11-07;15:00:00;9.02;11.86
2010-11-07;16:00:00;9.31;12.78
2010-11-07;17:00:00;9.54;13.4
2010-11-07;18:00:00;8.45;10.57
2010-11-07;19:00:00;7.49;7.92
2010-11-07;20:00:00;6.09;4.65
2010-11-07;21:00:00;5.88;4.41
2010-11-07;22:00:00;6.21;4.79
2010-11-07;23:00:00;5.55;3.65
2010-11-08;00:00:00;5.87;4.41
2010-11-08;01:00:00;5.38;3.39
2010-11-08;02:00:00;5.39;3.42
2010-11-08;03:00:00;5.29;3.25
2010-11-08;04:00:00;4.06;1.39
2010-11-08;05:00:00;0.54;0.0
2010-11-08;06:00:00;2.43;0.24
2010-11-08;07:00:00;3.92;1.21
2010-11-08;08:00:00;2.63;0.32
2010-11-08;09:00:00;2.99;0.49
2010-11-08;10:00:00;2.49;0.28
2010-11-08;11:00:00;4.13;1.4
2010-11-08;12:00:00;3.94;1.22
2010-11-08;13:00:00;1.86;0.02
2010-11-08;14:00:00;0.91;0.0
2010-11-08;15:00:00;1.7;0.0
2010-11-08;16:00:00;1.23;0.0
2010-11-08;17:00:00;3.2;0.6
2010-11-08;18:00:00;4.19;1.45
2010-11-08;19:00:00;7.17;7.32
2010-11-08;20:00:00;7.72;8.62
2010-11-08;21:00:00;6.59;5.72
2010-11-08;22:00:00;6.08;4.72
2010-11-08;23:00:00;7.07;7.07
2010-11-09;00:00:00;5.59;3.88
2010-11-09;01:00:00;5.78;4.26
2010-11-09;02:00:00;4.12;1.4
2010-11-09;03:00:00;3.44;0.77
2010-11-09;04:00:00;3.39;0.77
2010-11-09;05:00:00;3.89;1.23
2010-11-09;06:00:00;2.77;0.4
2010-11-09;07:00:00;2.48;0.28
2010-11-09;08:00:00;2.49;0.28
2010-11-09;09:00:00;2.97;0.5
2010-11-09;10:00:00;3.31;0.69
2010-11-09;11:00:00;3.26;0.69
2010-11-09;12:00:00;3.52;0.88
2010-11-09;13:00:00;4.26;1.54
2010-11-09;14:00:00;4.04;1.33
2010-11-09;15:00:00;3.99;1.33
2010-11-09;16:00:00;3.54;0.88
2010-11-09;17:00:00;3.8;1.08
2010-11-09;18:00:00;3.48;0.87
2010-11-09;19:00:00;3.4;0.76
2010-11-09;20:00:00;3.09;0.54
2010-11-09;21:00:00;3.21;0.6
2010-11-09;22:00:00;2.59;0.31
2010-11-09;23:00:00;2.0;0.04
2010-11-10;00:00:00;2.45;0.27
2010-11-10;01:00:00;2.98;0.49
2010-11-10;02:00:00;3.13;0.54
2010-11-10;03:00:00;4.51;1.78
2010-11-10;04:00:00;4.6;1.93
2010-11-10;05:00:00;4.45;1.67
2010-11-10;06:00:00;4.23;1.47
2010-11-10;07:00:00;3.91;1.23
2010-11-10;08:00:00;3.7;1.1
2010-11-10;09:00:00;3.9;1.23
2010-11-10;10:00:00;3.92;1.24
2010-11-10;11:00:00;3.67;1.1
2010-11-10;12:00:00;3.35;0.78
2010-11-10;13:00:00;2.84;0.4
2010-11-10;14:00:00;2.57;0.32
2010-11-10;15:00:00;2.0;0.04
2010-11-10;16:00:00;1.61;0.0
2010-11-10;17:00:00;1.65;0.0
2010-11-10;18:00:00;1.46;0.0
2010-11-10;19:00:00;1.55;0.0
2010-11-10;20:00:00;0.97;0.0
2010-11-10;21:00:00;0.64;0.0
2010-11-10;22:00:00;1.62;0.0
2010-11-10;23:00:00;2.03;0.04
2010-11-11;00:00:00;2.7;0.35
2010-11-11;01:00:00;1.68;0.0
2010-11-11;02:00:00;2.13;0.08
2010-11-11;03:00:00;3.13;0.54
2010-11-11;04:00:00;3.04;0.49
2010-11-11;05:00:00;1.25;0.0
2010-11-11;06:00:00;2.17;0.14
2010-11-11;07:00:00;3.66;1.09
2010-11-11;08:00:00;2.99;0.5
2010-11-11;09:00:00;4.22;1.47
2010-11-11;10:00:00;3.38;0.78
2010-11-11;11:00:00;3.51;0.89
2010-11-11;12:00:00;3.28;0.69
2010-11-11;13:00:00;2.63;0.32
2010-11-11;14:00:00;2.0;0.04
2010-11-11;15:00:00;1.68;0.0
2010-11-11;16:00:00;2.36;0.24
2010-11-11;17:00:00;1.98;0.04
2010-11-11;18:00:00;1.88;0.02
2010-11-11;19:00:00;2.37;0.23
2010-11-11;20:00:00;1.84;0.0
2010-11-11;21:00:00;1.77;0.0
2010-11-11;22:00:00;4.62;1.86
2010-11-11;23:00:00;4.65;2.01
2010-11-12;00:00:00;3.64;0.94
2010-11-12;01:00:00;2.23;0.13
2010-11-12;02:00:00;1.42;0.0
2010-11-12;03:00:00;0.5;0.0
2010-11-12;04:00:00;0.95;0.0
2010-11-12;05:00:00;3.25;0.59
2010-11-12;06:00:00;3.88;1.21
2010-11-12;07:00:00;3.28;0.68
