Date;Hour;Wind_speed;Energy
2010-10-01;00:00:00;3.87;1.22
2010-10-01;01:00:00;4.14;1.41
2010-10-01;02:00:00;2.91;0.45
2010-10-01;03:00:00;1.35;0.0
2010-10-01;04:00:00;1.64;0.0
2010-10-01;05:00:00;1.33;0.0
2010-10-01;06:00:00;2.46;0.28
2010-10-01;07:00:00;3.35;0.78
2010-10-01;08:00:00;4.56;1.96
2010-10-01;09:00:00;5.24;3.21
2010-10-01;10:00:00;6.31;5.12
2010-10-01;11:00:00;7.11;7.3
2010-10-01;12:00:00;7.39;8.07
2010-10-01;13:00:00;6.27;5.16
2010-10-01;14:00:00;5.73;4.21
2010-10-01;15:00:00;6.66;6.08
2010-10-01;16:00:00;6.26;5.08
2010-10-01;17:00:00;6.34;5.08
2010-10-01;18:00:00;5.06;2.99
2010-10-01;19:00:00;5.1;2.96
2010-10-01;20:00:00;8.6;11.11
2010-10-01;21:00:00;10.0;15.31
2010-10-01;22:00:00;7.39;7.88
2010-10-01;23:00:00;6.54;5.43
2010-10-02;00:00:00;5.76;4.3
2010-10-02;01:00:00;8.17;10.05
2010-10-02;02:00:00;9.11;12.56
2010-10-02;03:00:00;7.98;9.55
2010-10-02;04:00:00;9.36;13.62
2010-10-02;05:00:00;9.71;14.62
2010-10-02;06:00:00;11.02;17.86
2010-10-02;07:00:00;11.17;18.14
2010-10-02;08:00:00;10.23;16.01
2010-10-02;09:00:00;11.01;17.86
2010-10-02;10:00:00;11.3;18.21
2010-10-02;11:00:00;10.52;16.69
2010-10-02;12:00:00;10.72;17.05
2010-10-02;13:00:00;11.73;18.2
2010-10-02;14:00:00;10.93;17.45
2010-10-02;15:00:00;12.42;18.21
2010-10-02;16:00:00;11.62;18.13
2010-10-02;17:00:00;12.54;18.02
2010-10-02;18:00:00;11.46;17.92
2010-10-02;19:00:00;9.25;13.09
2010-10-02;20:00:00;7.49;8.05
2010-10-02;21:00:00;7.59;8.36
2010-10-02;22:00:00;8.95;11.78
2010-10-02;23:00:00;8.29;10.16
2010-10-03;00:00:00;7.65;8.36
2010-10-03;01:00:00;5.62;3.91
2010-10-03;02:00:00;6.35;5.04
2010-10-03;03:00:00;5.61;3.94
2010-10-03;04:00:00;6.44;5.28
2010-10-03;05:00:00;5.95;4.56
2010-10-03;06:00:00;6.06;4.8
2010-10-03;07:00:00;5.95;4.56
2010-10-03;08:00:00;5.73;4.18
2010-10-03;09:00:00;7.18;7.43
2010-10-03;10:00:00;6.92;6.69
2010-10-03;11:00:00;5.97;4.68
2010-10-03;12:00:00;5.85;4.52
2010-10-03;13:00:00;7.36;7.88
2010-10-03;14:00:00;7.01;6.91
2010-10-03;15:00:00;7.51;8.12
2010-10-03;16:00:00;6.76;6.27
2010-10-03;17:00:00;7.38;7.88
2010-10-03;18:00:00;6.84;6.22
2010-10-03;19:00:00;5.59;3.88
2010-10-03;20:00:00;4.64;1.91
2010-10-03;21:00:00;5.05;2.94
2010-10-03;22:00:00;5.8;4.26
2010-10-03;23:00:00;6.38;5.16
2010-10-04;00:00:00;6.02;4.6
2010-10-04;01:00:00;3.07;0.54
2010-10-04;02:00:00;3.58;0.97
2010-10-04;03:00:00;3.25;0.6
2010-10-04;04:00:00;3.53;0.88
2010-10-04;05:00:00;2.18;0.14
2010-10-04;06:00:00;1.09;0.0
2010-10-04;07:00:00;0.72;0.0
2010-10-04;08:00:00;1.23;0.0
2010-10-04;09:00:00;3.34;0.68
2010-10-04;10:00:00;2.56;0.32
2010-10-04;11:00:00;1.41;0.0
2010-10-04;12:00:00;0.98;0.0
2010-10-04;13:00:00;2.98;0.49
2010-10-04;14:00:00;3.09;0.54
2010-10-04;15:00:00;2.61;0.31
2010-10-04;16:00:00;1.92;0.02
2010-10-04;17:00:00;2.22;0.14
2010-10-04;18:00:00;2.22;0.14
2010-10-04;19:00:00;1.91;0.02
2010-10-04;20:00:00;1.8;0.0
2010-10-04;21:00:00;2.51;0.27
2010-10-04;22:00:00;2.66;0.35
2010-10-04;23:00:00;4.46;1.75
2010-10-05;00:00:00;4.4;1.63
2010-10-05;01:00:00;3.25;0.59
2010-10-05;02:00:00;2.8;0.39
2010-10-05;03:00:00;1.76;0.0
2010-10-05;04:00:00;2.31;0.19
2010-10-05;05:00:00;1.81;0.0
2010-10-05;06:00:00;1.61;0.0
2010-10-05;07:00:00;2.32;0.19
2010-10-05;08:00:00;0.74;0.0
2010-10-05;09:00:00;2.42;0.24
2010-10-05;10:00:00;2.49;0.28
2010-10-05;11:00:00;2.02;0.04
2010-10-05;12:00:00;4.54;1.79
2010-10-05;13:00:00;4.3;1.55
2010-10-05;14:00:00;4.69;2.09
2010-10-05;15:00:00;5.42;3.5
2010-10-05;16:00:00;5.84;4.3
2010-10-05;17:00:00;6.16;4.91
2010-10-05;18:00:00;7.01;6.91
2010-10-05;19:00:00;7.11;7.07
2010-10-05;20:00:00;7.77;8.88
2010-10-05;21:00:00;7.43;7.82
2010-10-05;22:00:00;7.76;8.88
2010-10-05;23:00:00;8.32;10.16
2010-10-06;00:00:00;8.38;10.48
2010-10-06;01:00:00;8.62;11.11
2010-10-06;02:00:00;9.67;14.39
2010-10-06;03:00:00;8.54;10.83
2010-10-06;04:00:00;12.63;18.11
2010-10-06;05:00:00;12.37;18.21
2010-10-06;06:00:00;13.52;17.67
2010-10-06;07:00:00;12.38;18.36
2010-10-06;08:00:00;11.64;18.28
2010-10-06;09:00:00;11.98;18.56
2010-10-06;10:00:00;6.82;6.37
2010-10-06;11:00:00;2.9;0.45
2010-10-06;12:00:00;6.44;5.33
2010-10-06;13:00:00;5.45;3.8
2010-10-06;14:00:00;6.22;4.99
2010-10-06;15:00:00;6.61;5.81
2010-10-06;16:00:00;7.29;7.61
2010-10-06;17:00:00;6.04;4.64
2010-10-06;18:00:00;4.54;1.78
2010-10-06;19:00:00;4.2;1.45
2010-10-06;20:00:00;2.9;0.44
2010-10-06;21:00:00;5.97;4.6
2010-10-06;22:00:00;4.49;1.76
2010-10-06;23:00:00;2.72;0.35
2010-10-07;00:00:00;3.32;0.68
2010-10-07;01:00:00;4.14;1.39
2010-10-07;02:00:00;5.62;3.88
2010-10-07;03:00:00;5.85;4.49
2010-10-07;04:00:00;6.3;5.0
2010-10-07;05:00:00;6.21;4.87
2010-10-07;06:00:00;7.22;7.32
2010-10-07;07:00:00;7.75;8.88
2010-10-07;08:00:00;7.29;7.55
2010-10-07;09:00:00;8.01;9.4
2010-10-07;10:00:00;10.05;15.18
2010-10-07;11:00:00;12.25;17.98
2010-10-07;12:00:00;14.62;17.14
2010-10-07;13:00:00;12.86;17.54
2010-10-07;14:00:00;12.68;17.78
2010-10-07;15:00:00;11.77;17.99
2010-10-07;16:00:00;12.03;18.12
2010-10-07;17:00:00;11.7;17.92
2010-10-07;18:00:00;12.19;18.02
2010-10-07;19:00:00;12.24;17.88
2010-10-07;20:00:00;9.8;14.6
2010-10-07;21:00:00;6.54;5.39
2010-10-07;22:00:00;4.83;2.3
2010-10-07;23:00:00;4.56;1.93
2010-10-08;00:00:00;2.93;0.44
2010-10-08;01:00:00;1.55;0.0
2010-10-08;02:00:00;5.09;2.96
2010-10-08;03:00:00;4.83;2.34
2010-10-08;04:00:00;3.41;0.78
2010-10-08;05:00:00;3.44;0.78
2010-10-08;06:00:00;2.21;0.14
2010-10-08;07:00:00;1.98;0.04
2010-10-08;08:00:00;1.64;0.0
2010-10-08;09:00:00;2.43;0.24
2010-10-08;10:00:00;2.6;0.32
2010-10-08;11:00:00;1.61;0.0
2010-10-08;12:00:00;0.96;0.0
2010-10-08;13:00:00;2.83;0.39
2010-10-08;14:00:00;3.12;0.54
2010-10-08;15:00:00;3.09;0.54
2010-10-08;16:00:00;2.71;0.36
2010-10-08;17:00:00;3.66;1.09
2010-10-08;18:00:00;4.15;1.45
2010-10-08;19:00:00;5.28;3.27
2010-10-08;20:00:00;4.07;1.39
2010-10-08;21:00:00;3.56;0.96
2010-10-08;22:00:00;2.68;0.35
2010-10-08;23:00:00;1.21;0.0
2010-10-09;00:00:00;1.29;0.0
2010-10-09;01:00:00;2.25;0.19
2010-10-09;02:00:00;1.89;0.02
2010-10-09;03:00:00;1.23;0.0
2010-10-09;04:00:00;0.73;0.0
2010-10-09;05:00:00;2.08;0.08
2010-10-09;06:00:00;2.44;0.24
2010-10-09;07:00:00;2.76;0.4
2010-10-09;08:00:00;3.67;1.09
2010-10-09;09:00:00;4.57;1.96
2010-10-09;10:00:00;5.73;4.21
2010-10-09;11:00:00;7.07;7.24
2010-10-09;12:00:00;6.11;4.83
2010-10-09;13:00:00;5.96;4.75
2010-10-09;14:00:00;6.73;6.13
2010-10-09;15:00:00;7.56;8.56
2010-10-09;16:00:00;8.12;9.82
2010-10-09;17:00:00;7.95;9.55
2010-10-09;18:00:00;7.86;9.22
2010-10-09;19:00:00;7.43;7.88
2010-10-09;20:00:00;7.6;8.42
2010-10-09;21:00:00;7.26;7.61
2010-10-09;22:00:00;8.14;9.75
2010-10-09;23:00:00;8.83;11.65
2010-10-10;00:00:00;9.29;13.09
2010-10-10;01:00:00;9.67;14.39
2010-10-10;02:00:00;9.78;14.71
2010-10-10;03:00:00;9.86;15.16
2010-10-10;04:00:00;9.43;13.52
2010-10-10;05:00:00;10.17;15.88
2010-10-10;06:00:00;9.43;13.52
2010-10-10;07:00:00;9.1;12.56
2010-10-10;08:00:00;9.5;13.94
2010-10-10;09:00:00;9.82;14.95
2010-10-10;10:00:00;10.23;16.01
2010-10-10;11:00:00;10.43;16.46
2010-10-10;12:00:00;10.78;17.41
2010-10-10;13:00:00;11.13;17.79
2010-10-10;14:00:00;10.84;17.28
2010-10-10;15:00:00;11.1;17.79
2010-10-10;16:00:00;11.49;17.92
