Date;Hour;Wind_speed;Energy
2010-09-01;00:00:00;2.47;0.28
2010-09-01;01:00:00;1.51;0.0
2010-09-01;02:00:00;3.0;0.5
2010-09-01;03:00:00;2.36;0.24
2010-09-01;04:00:00;2.47;0.28
2010-09-01;05:00:00;2.02;0.04
2010-09-01;06:00:00;1.76;0.0
2010-09-01;07:00:00;2.37;0.24
2010-09-01;08:00:00;2.23;0.14
2010-09-01;09:00:00;3.01;0.5
2010-09-01;10:00:00;3.71;1.1
2010-09-01;11:00:00;4.03;1.35
2010-09-01;12:00:00;4.19;1.48
2010-09-01;13:00:00;4.51;1.81
2010-09-01;14:00:00;4.94;2.53
2010-09-01;15:00:00;5.53;3.8
2010-09-01;16:00:00;5.96;4.71
2010-09-01;17:00:00;6.44;5.33
2010-09-01;18:00:00;6.71;6.08
2010-09-01;19:00:00;6.45;5.33
2010-09-01;20:00:00;5.94;4.59
2010-09-01;21:00:00;5.36;3.53
2010-09-01;22:00:00;5.14;3.01
2010-09-01;23:00:00;4.41;1.69
2010-09-02;00:00:00;4.93;2.51
2010-09-02;01:00:00;4.74;2.12
2010-09-02;02:00:00;4.67;2.12
2010-09-02;03:00:00;4.89;2.53
2010-09-02;04:00:00;4.64;1.99
2010-09-02;05:00:00;4.4;1.71
2010-09-02;06:00:00;4.67;2.14
2010-09-02;07:00:00;4.57;1.99
2010-09-02;08:00:00;4.93;2.55
2010-09-02;09:00:00;4.43;1.71
2010-09-02;10:00:00;4.25;1.51
2010-09-02;11:00:00;5.63;4.03
2010-09-02;12:00:00;4.62;1.99
2010-09-02;13:00:00;4.44;1.71
2010-09-02;14:00:00;4.64;1.99
2010-09-02;15:00:00;4.64;1.97
2010-09-02;16:00:00;4.89;2.53
2010-09-02;17:00:00;4.25;1.48
2010-09-02;18:00:00;4.21;1.48
2010-09-02;19:00:00;6.23;4.99
2010-09-02;20:00:00;5.45;3.8
2010-09-02;21:00:00;5.61;3.94
2010-09-02;22:00:00;6.68;6.03
2010-09-02;23:00:00;6.76;6.37
2010-09-03;00:00:00;7.95;9.63
2010-09-03;01:00:00;6.62;5.86
2010-09-03;02:00:00;7.7;8.83
2010-09-03;03:00:00;7.27;7.73
2010-09-03;04:00:00;7.07;7.24
2010-09-03;05:00:00;7.18;7.49
2010-09-03;06:00:00;6.11;4.83
2010-09-03;07:00:00;5.22;3.21
2010-09-03;08:00:00;4.67;2.11
2010-09-03;09:00:00;4.47;1.81
2010-09-03;10:00:00;3.64;0.98
2010-09-03;11:00:00;3.01;0.5
2010-09-03;12:00:00;3.1;0.55
2010-09-03;13:00:00;2.66;0.36
2010-09-03;14:00:00;2.86;0.45
2010-09-03;15:00:00;1.14;0.0
2010-09-03;16:00:00;0.63;0.0
2010-09-03;17:00:00;1.28;0.0
2010-09-03;18:00:00;0.95;0.0
2010-09-03;19:00:00;4.36;1.67
2010-09-03;20:00:00;4.34;1.55
2010-09-03;21:00:00;4.07;1.41
2010-09-03;22:00:00;4.96;2.79
2010-09-03;23:00:00;4.46;1.79
2010-09-04;00:00:00;3.02;0.5
2010-09-04;01:00:00;1.81;0.0
2010-09-04;02:00:00;1.89;0.02
2010-09-04;03:00:00;2.36;0.24
2010-09-04;04:00:00;2.22;0.14
2010-09-04;05:00:00;3.11;0.54
