speed,hourly_power,hour,Date
3.35,2.87,0,2010-01-01
2.88,1.97,1,2010-01-01
4.87,5.78,2,2010-01-01
4.1,4.31,3,2010-01-01
4.31,4.71,4,2010-01-01
2.06,0.4,5,2010-01-01
3.11,2.4,6,2010-01-01
2.33,0.91,7,2010-01-01
3.0,2.2,8,2010-01-01
3.25,2.67,9,2010-01-01
2.34,0.93,10,2010-01-01
3.75,3.64,11,2010-01-01
3.09,2.37,12,2010-01-01
2.51,1.26,13,2010-01-01
3.25,2.67,14,2010-01-01
5.09,6.2,15,2010-01-01
6.16,8.23,16,2010-01-01
5.25,6.51,17,2010-01-01
6.65,9.18,18,2010-01-01
5.86,7.67,19,2010-01-01
7.67,11.12,20,2010-01-01
7.5,10.81,21,2010-01-01
9.46,14.56,22,2010-01-01
9.23,14.12,23,2010-01-01
5.67,7.31,0,2010-01-02
10.66,16.85,1,2010-01-02
10.97,17.44,2,2010-01-02
11.18,17.5,3,2010-01-02
12.86,17.5,4,2010-01-02
11.88,17.5,5,2010-01-02
9.9,15.39,6,2010-01-02
10.0,15.59,7,2010-01-02
9.93,15.45,8,2010-01-02
7.98,11.72,9,2010-01-02
6.01,7.96,10,2010-01-02
5.02,6.05,11,2010-01-02
7.74,11.27,12,2010-01-02
7.46,10.72,13,2010-01-02
7.2,10.23,14,2010-01-02
6.18,8.29,15,2010-01-02
7.18,10.2,16,2010-01-02
8.52,12.76,17,2010-01-02
8.85,13.39,18,2010-01-02
8.82,13.34,19,2010-01-02
9.62,14.87,20,2010-01-02
9.13,13.92,21,2010-01-02
9.06,13.79,22,2010-01-02
9.99,15.57,23,2010-01-02
7.98,11.72,0,2010-01-03
7.9,11.58,1,2010-01-03
8.6,12.9,2,2010-01-03
8.31,12.36,3,2010-01-03
7.26,10.34,4,2010-01-03
6.71,9.29,5,2010-01-03
5.97,7.89,6,2010-01-03
7.61,11.01,7,2010-01-03
7.98,11.72,8,2010-01-03
8.24,12.21,9,2010-01-03
8.14,12.03,10,2010-01-03
8.16,12.07,11,2010-01-03
7.69,11.18,12,2010-01-03
9.17,13.99,13,2010-01-03
9.19,14.05,14,2010-01-03
7.7,11.2,15,2010-01-03
8.14,12.03,16,2010-01-03
8.67,13.05,17,2010-01-03
10.52,16.57,18,2010-01-03
9.91,15.41,19,2010-01-03
9.76,15.14,20,2010-01-03
2.58,1.4,21,2010-01-03
4.4,4.87,22,2010-01-03
4.35,4.78,23,2010-01-03
1.69,0.0,0,2010-01-04
2.48,1.2,1,2010-01-04
1.61,0.0,2,2010-01-04
1.79,0.0,3,2010-01-04
1.6,0.0,4,2010-01-04
1.45,0.0,5,2010-01-04
1.16,0.0,6,2010-01-04
1.27,0.0,7,2010-01-04
2.32,0.89,8,2010-01-04
2.07,0.42,9,2010-01-04
2.22,0.71,10,2010-01-04
1.8,0.0,11,2010-01-04
0.98,0.0,12,2010-01-04
0.61,0.0,13,2010-01-04
0.88,0.0,14,2010-01-04
1.11,0.0,15,2010-01-04
2.14,0.55,16,2010-01-04
3.32,2.82,17,2010-01-04
3.8,3.73,18,2010-01-04
3.82,3.76,19,2010-01-04
3.21,2.6,20,2010-01-04
5.79,7.54,21,2010-01-04
2.61,1.46,22,2010-01-04
5.63,7.23,23,2010-01-04
5.77,7.49,0,2010-01-05
4.88,5.8,1,2010-01-05
4.59,5.24,2,2010-01-05
3.18,2.55,3,2010-01-05
2.48,1.2,4,2010-01-05
2.37,0.99,5,2010-01-05
1.41,0.0,6,2010-01-05
2.56,1.37,7,2010-01-05
3.67,3.47,8,2010-01-05
4.34,4.76,9,2010-01-05
4.31,4.71,10,2010-01-05
4.41,4.89,11,2010-01-05
3.32,2.8,12,2010-01-05
2.28,0.82,13,2010-01-05
4.89,5.82,14,2010-01-05
7.29,10.4,15,2010-01-05
3.42,3.0,16,2010-01-05
7.46,10.72,17,2010-01-05
7.15,10.14,18,2010-01-05
7.02,9.89,19,2010-01-05
7.35,10.52,20,2010-01-05
4.57,5.2,21,2010-01-05
4.22,4.53,22,2010-01-05
4.28,4.66,23,2010-01-05
3.3,2.77,0,2010-01-06
3.9,3.93,1,2010-01-06
3.76,3.66,2,2010-01-06
3.72,3.58,3,2010-01-06
4.79,5.62,4,2010-01-06
3.94,4.0,5,2010-01-06
4.51,5.09,6,2010-01-06
3.91,3.95,7,2010-01-06
4.23,4.55,8,2010-01-06
4.91,5.85,9,2010-01-06
4.68,5.42,10,2010-01-06
4.76,5.56,11,2010-01-06
3.95,4.02,12,2010-01-06
3.25,2.67,13,2010-01-06
3.83,3.78,14,2010-01-06
2.02,0.33,15,2010-01-06
3.69,3.51,16,2010-01-06
3.71,3.57,17,2010-01-06
4.61,5.27,18,2010-01-06
1.82,0.0,19,2010-01-06
3.79,3.71,20,2010-01-06
5.65,7.27,21,2010-01-06
5.51,7.0,22,2010-01-06
4.46,5.0,23,2010-01-06
5.8,7.56,0,2010-01-07
5.1,6.22,1,2010-01-07
4.62,5.29,2,2010-01-07
4.61,5.27,3,2010-01-07
4.43,4.93,4,2010-01-07
4.11,4.33,5,2010-01-07
5.3,6.6,6,2010-01-07
6.2,8.32,7,2010-01-07
6.21,8.34,8,2010-01-07
6.1,8.13,9,2010-01-07
6.57,9.03,10,2010-01-07
7.15,10.14,11,2010-01-07
6.78,9.43,12,2010-01-07
7.69,11.18,13,2010-01-07
10.25,16.06,14,2010-01-07
10.91,17.34,15,2010-01-07
11.02,17.5,16,2010-01-07
10.89,17.28,17,2010-01-07
9.83,15.26,18,2010-01-07
11.29,17.5,19,2010-01-07
9.37,14.37,20,2010-01-07
9.02,13.72,21,2010-01-07
8.31,12.36,22,2010-01-07
9.58,14.79,23,2010-01-07
10.15,15.88,0,2010-01-08
8.08,11.92,1,2010-01-08
9.0,13.67,2,2010-01-08
10.32,16.19,3,2010-01-08
10.49,16.52,4,2010-01-08
7.78,11.34,5,2010-01-08
9.13,13.92,6,2010-01-08
8.61,12.92,7,2010-01-08
6.51,8.91,8,2010-01-08
2.61,1.46,9,2010-01-08
4.42,4.91,10,2010-01-08
4.12,4.35,11,2010-01-08
4.43,4.93,12,2010-01-08
4.44,4.95,13,2010-01-08
5.68,7.33,14,2010-01-08
7.12,10.09,15,2010-01-08
10.97,17.44,16,2010-01-08
11.62,17.5,17,2010-01-08
11.21,17.5,18,2010-01-08
12.3,17.5,19,2010-01-08
11.22,17.5,20,2010-01-08
10.41,16.37,21,2010-01-08
5.52,7.02,22,2010-01-08
6.68,9.23,23,2010-01-08
7.18,10.2,0,2010-01-09
8.27,12.29,1,2010-01-09
9.43,14.5,2,2010-01-09
8.35,12.43,3,2010-01-09
9.66,14.94,4,2010-01-09
8.87,13.43,5,2010-01-09
7.3,10.41,6,2010-01-09
7.86,11.49,7,2010-01-09
10.01,15.61,8,2010-01-09
8.33,12.39,9,2010-01-09
8.78,13.25,10,2010-01-09
11.38,17.5,11,2010-01-09
3.32,2.8,12,2010-01-09
7.7,11.2,13,2010-01-09
8.43,12.58,14,2010-01-09
9.68,14.97,15,2010-01-09
8.93,13.54,16,2010-01-09
7.89,11.56,17,2010-01-09
10.15,15.88,18,2010-01-09
9.47,14.57,19,2010-01-09
9.78,15.17,20,2010-01-09
9.22,14.1,21,2010-01-09
7.03,9.91,22,2010-01-09
5.81,7.58,23,2010-01-09
5.48,6.94,0,2010-01-10
6.3,8.51,1,2010-01-10
5.4,6.78,2,2010-01-10
7.04,9.92,3,2010-01-10
7.1,10.03,4,2010-01-10
7.67,11.12,5,2010-01-10
7.45,10.7,6,2010-01-10
8.47,12.67,7,2010-01-10
6.91,9.67,8,2010-01-10
7.2,10.23,9,2010-01-10
6.88,9.61,10,2010-01-10
9.69,14.99,11,2010-01-10
10.61,16.75,12,2010-01-10
9.18,14.01,13,2010-01-10
9.86,15.32,14,2010-01-10
10.1,15.77,15,2010-01-10
10.9,17.32,16,2010-01-10
10.19,15.96,17,2010-01-10
12.5,17.5,18,2010-01-10
8.91,13.5,19,2010-01-10
11.49,17.5,20,2010-01-10
11.05,17.5,21,2010-01-10
10.88,17.26,22,2010-01-10
13.41,17.5,23,2010-01-10
13.38,17.5,0,2010-01-11
14.11,17.5,1,2010-01-11
14.12,17.5,2,2010-01-11
12.87,17.5,3,2010-01-11
