speed;f(v);air_power;power_in;usable_energy;turbine_power;electric_power;energy
0.0;0.0;0.0;0.0;0.0;0;0.0;0.0
0.1;0.01;0.0;0.0;0.0;0;0.0;0.0
0.2;0.01;0.0;0.0;0.0;0;0.0;0.0
0.3;0.02;0.02;0.0;0.0;0;0.0;0.0
0.4;0.03;0.04;0.0;0.0;0;0.0;0.0
0.5;0.03;0.08;0.0;0.0;0;0.0;0.0
0.6;0.04;0.13;0.0;0.0;0;0.0;0.0
0.7;0.04;0.21;0.01;0.01;0;0.0;0.0
0.8;0.05;0.31;0.01;0.01;0;0.0;0.0
0.9;0.05;0.45;0.02;0.01;0;0.0;0.0
1.0;0.06;0.61;0.03;0.02;0;0.0;0.0
1.1;0.06;0.82;0.05;0.03;0;0.0;0.0
1.2;0.06;1.06;0.07;0.04;0;0.0;0.0
1.3;0.07;1.35;0.09;0.05;0;0.0;0.0
1.4;0.07;1.68;0.12;0.07;0;0.0;0.0
1.5;0.08;2.07;0.16;0.09;0;0.0;0.0
1.6;0.08;2.51;0.2;0.12;0;0.0;0.0
1.7;0.08;3.01;0.25;0.15;0;0.0;0.0
1.8;0.09;3.57;0.31;0.18;0;0.0;0.0
1.9;0.09;4.2;0.38;0.22;20;0.03;1576.64
2.0;0.09;4.9;0.46;0.27;40;0.06;3263.87
2.1;0.1;5.67;0.55;0.32;80;0.12;6738.88
2.2;0.1;6.52;0.65;0.38;140;0.22;12145.01
2.3;0.1;7.45;0.76;0.45;190;0.3;16936.31
2.4;0.1;8.47;0.88;0.52;240;0.39;21936.28
2.5;0.11;9.57;1.02;0.6;280;0.47;26190.72
2.6;0.11;10.77;1.17;0.69;320;0.55;30575.99
2.7;0.11;12.06;1.34;0.79;360;0.63;35077.14
2.8;0.11;13.45;1.52;0.9;400;0.71;39679.35
2.9;0.12;14.94;1.72;1.01;450;0.81;45376.29
3.0;0.12;16.54;1.93;1.14;500;0.92;51175.38
3.1;0.12;18.25;2.16;1.27;550;1.02;57058.63
3.2;0.12;20.07;2.41;1.42;610;1.15;64058.45
3.3;0.12;22.01;2.67;1.57;690;1.31;73253.63
3.4;0.12;24.07;2.95;1.74;780;1.5;83613.48
3.5;0.12;26.26;3.24;1.91;890;1.73;96219.35
3.6;0.12;28.58;3.55;2.1;980;1.92;106732.69
