Date;Hour;GHI;Temperature
2015-01-01;00:00:00;0.0;8.55
2015-01-01;01:00:00;0.0;8.46
2015-01-01;02:00:00;0.0;8.34
2015-01-01;03:00:00;0.0;7.85
2015-01-01;04:00:00;0.0;7.32
2015-01-01;05:00:00;0.0;6.75
2015-01-01;06:00:00;77.86;7.74
2015-01-01;07:00:00;106.86;8.73
2015-01-01;08:00:00;230.82;9.7
2015-01-01;09:00:00;385.6;10.96
2015-01-01;10:00:00;228.94;12.14
2015-01-01;11:00:00;282.7;13.23
2015-01-01;12:00:00;318.68;14.22
2015-01-01;13:00:00;278.28;15.28
2015-01-01;14:00:00;266.8;16.35
2015-01-01;15:00:00;235.7;16.0
2015-01-01;16:00:00;687.92;15.64
2015-01-01;17:00:00;474.14;15.28
2015-01-01;18:00:00;275.9;13.6
2015-01-01;19:00:00;236.9;12.82
2015-01-01;20:00:00;66.94;12.16
2015-01-01;21:00:00;0.0;11.35
2015-01-01;22:00:00;0.0;10.71
2015-01-01;23:00:00;0.0;10.23
2015-01-02;00:00:00;0.0;9.17
2015-01-02;01:00:00;0.0;8.9
2015-01-02;02:00:00;0.0;8.6
2015-01-02;03:00:00;0.0;8.31
2015-01-02;04:00:00;0.0;7.99
2015-01-02;05:00:00;0.0;7.63
2015-01-02;06:00:00;79.28;8.22
2015-01-02;07:00:00;255.26;9.17
2015-01-02;08:00:00;450.8;10.1
2015-01-02;09:00:00;640.02;11.59
2015-01-02;10:00:00;805.44;13.01
2015-01-02;11:00:00;933.28;14.33
2015-01-02;12:00:00;1013.62;16.98
2015-01-02;13:00:00;997.8;18.25
2015-01-02;14:00:00;948.52;19.53
2015-01-02;15:00:00;821.74;18.65
2015-01-02;16:00:00;425.02;17.76
2015-01-02;17:00:00;297.96;16.88
2015-01-02;18:00:00;177.98;14.51
2015-01-02;19:00:00;124.16;13.16
2015-01-02;20:00:00;27.22;11.93
2015-01-02;21:00:00;0.0;10.8
2015-01-02;22:00:00;0.0;9.84
2015-01-02;23:00:00;0.0;9.05
2015-01-03;00:00:00;0.0;7.79
2015-01-03;01:00:00;0.0;7.04
2015-01-03;02:00:00;0.0;6.25
2015-01-03;03:00:00;0.0;6.65
2015-01-03;04:00:00;0.0;7.01
2015-01-03;05:00:00;0.0;7.33
2015-01-03;06:00:00;69.62;7.93
2015-01-03;07:00:00;104.92;8.48
2015-01-03;08:00:00;231.46;9.0
2015-01-03;09:00:00;391.5;10.04
2015-01-03;10:00:00;323.7;11.01
2015-01-03;11:00:00;404.78;11.88
2015-01-03;12:00:00;459.36;12.47
2015-01-03;13:00:00;264.2;13.08
2015-01-03;14:00:00;253.44;13.69
2015-01-03;15:00:00;223.76;14.12
2015-01-03;16:00:00;360.16;14.56
2015-01-03;17:00:00;252.78;14.99
2015-01-03;18:00:00;151.0;14.81
2015-01-03;19:00:00;222.02;14.17
2015-01-03;20:00:00;60.64;13.64
2015-01-03;21:00:00;0.0;12.86
2015-01-03;22:00:00;0.0;12.26
2015-01-03;23:00:00;0.0;11.82
2015-01-04;00:00:00;0.0;12.55
2015-01-04;01:00:00;0.0;12.23
2015-01-04;02:00:00;0.0;11.88
2015-01-04;03:00:00;0.0;11.35
2015-01-04;04:00:00;0.0;10.79
2015-01-04;05:00:00;0.0;10.19
2015-01-04;06:00:00;66.96;9.89
2015-01-04;07:00:00;118.52;10.61
2015-01-04;08:00:00;267.94;11.31
2015-01-04;09:00:00;460.1;12.21
2015-01-04;10:00:00;139.22;13.05
2015-01-04;11:00:00;170.82;13.79
2015-01-04;12:00:00;192.06;14.12
2015-01-04;13:00:00;163.0;14.59
2015-01-04;14:00:00;157.04;15.06
2015-01-04;15:00:00;139.98;15.33
2015-01-04;16:00:00;302.76;15.6
2015-01-04;17:00:00;215.2;15.87
2015-01-04;18:00:00;130.84;16.6
2015-01-04;19:00:00;109.94;15.4
2015-01-04;20:00:00;24.0;14.32
2015-01-04;21:00:00;0.0;13.05
2015-01-04;22:00:00;0.0;11.94
2015-01-04;23:00:00;0.0;11.0
2015-01-05;00:00:00;0.0;9.94
2015-01-05;01:00:00;0.0;8.96
2015-01-05;02:00:00;0.0;7.96
2015-01-05;03:00:00;0.0;7.41
2015-01-05;04:00:00;0.0;6.83
2015-01-05;05:00:00;0.0;6.21
2015-01-05;06:00:00;67.8;6.84
2015-01-05;07:00:00;122.52;7.75
2015-01-05;08:00:00;277.4;8.64
2015-01-05;09:00:00;476.14;9.68
2015-01-05;10:00:00;623.66;10.65
2015-01-05;11:00:00;794.84;11.52
2015-01-05;12:00:00;913.7;13.1
2015-01-05;13:00:00;707.3;13.98
2015-01-05;14:00:00;676.32;14.86
2015-01-05;15:00:00;590.4;14.57
2015-01-05;16:00:00;436.84;14.28
2015-01-05;17:00:00;306.3;13.99
2015-01-05;18:00:00;182.56;12.34
2015-01-05;19:00:00;121.46;11.67
2015-01-05;20:00:00;25.88;11.13
2015-01-05;21:00:00;0.0;10.59
2015-01-05;22:00:00;0.0;10.23
2015-01-05;23:00:00;0.0;10.03
2015-01-06;00:00:00;0.0;8.8
2015-01-06;01:00:00;0.0;8.63
2015-01-06;02:00:00;0.0;8.44
2015-01-06;03:00:00;0.0;8.8
2015-01-06;04:00:00;0.0;9.13
2015-01-06;05:00:00;0.0;9.42
2015-01-06;06:00:00;64.72;9.83
2015-01-06;07:00:00;235.58;10.55
2015-01-06;08:00:00;430.52;11.25
2015-01-06;09:00:00;620.74;12.34
2015-01-06;10:00:00;344.56;13.35
2015-01-06;11:00:00;433.16;14.27
2015-01-06;12:00:00;493.94;15.31
2015-01-06;13:00:00;509.44;16.03
2015-01-06;14:00:00;488.14;16.75
2015-01-06;15:00:00;428.08;16.2
2015-01-06;16:00:00;498.26;15.64
2015-01-06;17:00:00;347.42;15.08
2015-01-06;18:00:00;205.36;14.39
2015-01-06;19:00:00;235.5;13.36
2015-01-06;20:00:00;64.46;12.46
2015-01-06;21:00:00;0.0;11.35
2015-01-06;22:00:00;0.0;10.39
2015-01-06;23:00:00;0.0;9.61
2015-01-07;00:00:00;0.0;8.34
2015-01-07;01:00:00;0.0;7.81
2015-01-07;02:00:00;0.0;7.25
2015-01-07;03:00:00;0.0;6.77
2015-01-07;04:00:00;0.0;6.24
2015-01-07;05:00:00;0.0;5.68
2015-01-07;06:00:00;65.18;6.46
2015-01-07;07:00:00;82.4;7.4
2015-01-07;08:00:00;180.24;8.31
2015-01-07;09:00:00;301.52;9.57
2015-01-07;10:00:00;283.48;10.76
2015-01-07;11:00:00;354.26;11.85
2015-01-07;12:00:00;402.7;12.92
2015-01-07;13:00:00;363.92;13.92
2015-01-07;14:00:00;349.12;14.92
2015-01-07;15:00:00;307.72;14.62
2015-01-07;16:00:00;414.34;14.32
2015-01-07;17:00:00;291.68;14.02
2015-01-07;18:00:00;174.98;13.3
2015-01-07;19:00:00;238.56;12.4
2015-01-07;20:00:00;66.16;11.63
2015-01-07;21:00:00;0.0;11.0
2015-01-07;22:00:00;0.0;10.52
2015-01-07;23:00:00;0.0;10.22
2015-01-08;00:00:00;0.0;10.55
2015-01-08;01:00:00;0.0;10.46
2015-01-08;02:00:00;0.0;10.33
2015-01-08;03:00:00;0.0;10.2
2015-01-08;04:00:00;0.0;10.04
2015-01-08;05:00:00;0.0;9.83
2015-01-08;06:00:00;25.98;9.1
2015-01-08;07:00:00;84.04;9.86
2015-01-08;08:00:00;185.3;10.59
2015-01-08;09:00:00;311.38;11.57
2015-01-08;10:00:00;213.84;12.47
2015-01-08;11:00:00;265.4;13.28
2015-01-08;12:00:00;300.42;13.73
2015-01-08;13:00:00;329.42;14.49
2015-01-08;14:00:00;316.9;15.26
2015-01-08;15:00:00;280.18;15.61
2015-01-08;16:00:00;331.68;15.96
2015-01-08;17:00:00;235.64;16.3
2015-01-08;18:00:00;143.04;15.61
2015-01-08;19:00:00;234.32;14.68
2015-01-08;20:00:00;64.34;13.86
2015-01-08;21:00:00;0.0;13.0
2015-01-08;22:00:00;0.0;12.31
2015-01-08;23:00:00;0.0;11.78
2015-01-09;00:00:00;0.0;11.3
2015-01-09;01:00:00;0.0;10.78
2015-01-09;02:00:00;0.0;10.22
2015-01-09;03:00:00;0.0;9.68
2015-01-09;04:00:00;0.0;9.09
2015-01-09;05:00:00;0.0;8.47
2015-01-09;06:00:00;59.66;7.42
2015-01-09;07:00:00;87.3;8.23
2015-01-09;08:00:00;195.92;9.03
2015-01-09;09:00:00;333.12;10.06
2015-01-09;10:00:00;262.84;11.01
2015-01-09;11:00:00;329.34;11.87
2015-01-09;12:00:00;375.18;13.19
2015-01-09;13:00:00;747.94;13.84
2015-01-09;14:00:00;716.0;14.48
2015-01-09;15:00:00;624.68;14.19
2015-01-09;16:00:00;437.62;13.9
2015-01-09;17:00:00;306.06;13.61
2015-01-09;18:00:00;181.5;13.07
2015-01-09;19:00:00;231.24;12.3
2015-01-09;20:00:00;62.06;11.66
2015-01-09;21:00:00;0.0;10.91
2015-01-09;22:00:00;0.0;10.32
2015-01-09;23:00:00;0.0;9.9
2015-01-10;00:00:00;0.0;8.85
2015-01-10;01:00:00;0.0;8.52
2015-01-10;02:00:00;0.0;8.16
2015-01-10;03:00:00;0.0;7.74
2015-01-10;04:00:00;0.0;7.29
2015-01-10;05:00:00;0.0;6.8
2015-01-10;06:00:00;52.42;7.46
2015-01-10;07:00:00;70.9;8.11
2015-01-10;08:00:00;160.78;8.73
2015-01-10;09:00:00;274.1;9.65
2015-01-10;10:00:00;216.04;10.5
2015-01-10;11:00:00;270.46;11.25
2015-01-10;12:00:00;307.7;12.17
2015-01-10;13:00:00;304.36;12.84
2015-01-10;14:00:00;291.48;13.51
2015-01-10;15:00:00;256.02;13.67
2015-01-10;16:00:00;335.34;13.82
2015-01-10;17:00:00;233.6;13.97
2015-01-10;18:00:00;137.62;14.84
2015-01-10;19:00:00;105.74;14.16
2015-01-10;20:00:00;20.96;13.61
2015-01-10;21:00:00;0.0;13.09
2015-01-10;22:00:00;0.0;12.73
2015-01-10;23:00:00;0.0;12.53
2015-01-11;00:00:00;0.0;12.4
2015-01-11;01:00:00;0.0;12.42
2015-01-11;02:00:00;0.0;12.4
2015-01-11;03:00:00;0.0;12.59
2015-01-11;04:00:00;0.0;12.74
2015-01-11;05:00:00;0.0;12.85
2015-01-11;06:00:00;16.84;12.73
2015-01-11;07:00:00;53.44;13.35
2015-01-11;08:00:00;124.28;13.94
2015-01-11;09:00:00;215.0;14.42
2015-01-11;10:00:00;114.5;14.82
2015-01-11;11:00:00;142.22;15.13
2015-01-11;12:00:00;160.9;14.44
2015-01-11;13:00:00;80.84;14.94
2015-01-11;14:00:00;78.4;15.43
2015-01-11;15:00:00;70.44;14.64
2015-01-11;16:00:00;262.94;13.85
2015-01-11;17:00:00;184.94;13.06
2015-01-11;18:00:00;110.32;12.96
2015-01-11;19:00:00;93.92;11.73
2015-01-11;20:00:00;19.14;10.63
2015-01-11;21:00:00;0.0;9.72
2015-01-11;22:00:00;0.0;8.97
2015-01-11;23:00:00;0.0;8.4
2015-01-12;00:00:00;0.0;7.59
2015-01-12;01:00:00;0.0;6.96
2015-01-12;02:00:00;0.0;6.31
2015-01-12;03:00:00;0.0;6.66
2015-01-12;04:00:00;0.0;6.98
2015-01-12;05:00:00;0.0;7.25
2015-01-12;06:00:00;47.2;8.25
2015-01-12;07:00:00;207.12;9.03
2015-01-12;08:00:00;399.24;9.79
2015-01-12;09:00:00;590.38;10.6
2015-01-12;10:00:00;624.18;11.33
2015-01-12;11:00:00;808.52;11.97
2015-01-12;12:00:00;940.04;12.2
2015-01-12;13:00:00;786.92;12.66
2015-01-12;14:00:00;756.04;13.12
2015-01-12;15:00:00;661.8;13.39
2015-01-12;16:00:00;453.64;13.66
2015-01-12;17:00:00;318.42;13.93
2015-01-12;18:00:00;189.68;14.39
2015-01-12;19:00:00;121.7;13.97
2015-01-12;20:00:00;25.38;13.67
2015-01-12;21:00:00;0.0;13.41
2015-01-12;22:00:00;0.0;13.31
2015-01-12;23:00:00;0.0;13.38
2015-01-13;00:00:00;0.0;13.36
2015-01-13;01:00:00;0.0;13.37
2015-01-13;02:00:00;0.0;13.34
2015-01-13;03:00:00;0.0;13.21
2015-01-13;04:00:00;0.0;13.04
2015-01-13;05:00:00;0.0;12.83
2015-01-13;06:00:00;53.24;13.11
2015-01-13;07:00:00;84.94;13.53
2015-01-13;08:00:00;193.7;13.92
2015-01-13;09:00:00;331.04;14.56
2015-01-13;10:00:00;532.82;15.13
2015-01-13;11:00:00;681.14;15.6
2015-01-13;12:00:00;785.54;16.25
2015-01-13;13:00:00;774.92;16.88
2015-01-13;14:00:00;744.44;17.5
2015-01-13;15:00:00;652.78;16.89
2015-01-13;16:00:00;800.8;16.27
2015-01-13;17:00:00;634.42;15.65
2015-01-13;18:00:00;443.42;14.3
2015-01-13;19:00:00;245.32;13.2
2015-01-13;20:00:00;67.04;12.22
2015-01-13;21:00:00;0.0;11.1
2015-01-13;22:00:00;0.0;10.15
2015-01-13;23:00:00;0.0;9.37
2015-01-14;00:00:00;0.0;7.15
2015-01-14;01:00:00;0.0;6.54
2015-01-14;02:00:00;0.0;5.9
2015-01-14;03:00:00;0.0;5.51
2015-01-14;04:00:00;0.0;5.08
2015-01-14;05:00:00;0.0;4.61
2015-01-14;06:00:00;51.5;6.4
2015-01-14;07:00:00;224.68;7.41
2015-01-14;08:00:00;422.56;8.4
2015-01-14;09:00:00;615.82;9.85
2015-01-14;10:00:00;786.28;11.23
2015-01-14;11:00:00;919.44;12.51
2015-01-14;12:00:00;1005.06;14.71
2015-01-14;13:00:00;1034.4;15.76
2015-01-14;14:00:00;1006.82;16.82
2015-01-14;15:00:00;924.88;16.53
2015-01-14;16:00:00;715.8;16.22
2015-01-14;17:00:00;492.9;15.92
2015-01-14;18:00:00;285.3;14.21
2015-01-14;19:00:00;236.92;13.34
2015-01-14;20:00:00;62.34;12.59
2015-01-14;21:00:00;0.0;11.69
2015-01-14;22:00:00;0.0;10.96
2015-01-14;23:00:00;0.0;10.39
2015-01-15;00:00:00;0.0;9.05
2015-01-15;01:00:00;0.0;9.4
2015-01-15;02:00:00;0.0;9.72
2015-01-15;03:00:00;0.0;10.18
2015-01-15;04:00:00;0.0;10.6
2015-01-15;05:00:00;0.0;10.99
2015-01-15;06:00:00;43.5;11.52
2015-01-15;07:00:00;67.94;12.62
2015-01-15;08:00:00;157.08;13.7
2015-01-15;09:00:00;269.42;14.99
2015-01-15;10:00:00;255.04;16.2
2015-01-15;11:00:00;321.16;17.32
2015-01-15;12:00:00;366.74;17.62
2015-01-15;13:00:00;294.74;18.46
2015-01-15;14:00:00;284.32;19.31
2015-01-15;15:00:00;252.0;18.47
2015-01-15;16:00:00;345.16;17.62
2015-01-15;17:00:00;243.6;16.77
2015-01-15;18:00:00;146.0;17.17
2015-01-15;19:00:00;221.94;15.73
2015-01-15;20:00:00;56.36;14.43
2015-01-15;21:00:00;0.0;13.5
2015-01-15;22:00:00;0.0;12.74
2015-01-15;23:00:00;0.0;12.15
2015-01-16;00:00:00;0.0;12.61
2015-01-16;01:00:00;0.0;11.82
2015-01-16;02:00:00;0.0;10.99
2015-01-16;03:00:00;0.0;10.36
2015-01-16;04:00:00;0.0;9.68
2015-01-16;05:00:00;0.0;8.97
2015-01-16;06:00:00;40.74;7.36
2015-01-16;07:00:00;68.1;8.07
2015-01-16;08:00:00;160.0;8.76
2015-01-16;09:00:00;277.02;9.82
2015-01-16;10:00:00;259.2;10.8
2015-01-16;11:00:00;327.96;11.69
2015-01-16;12:00:00;376.18;12.51
2015-01-16;13:00:00;546.78;13.28
2015-01-16;14:00:00;525.76;14.05
2015-01-16;15:00:00;461.84;14.43
2015-01-16;16:00:00;402.68;14.81
2015-01-16;17:00:00;282.52;15.19
2015-01-16;18:00:00;167.92;14.17
2015-01-16;19:00:00;224.46;13.57
2015-01-16;20:00:00;56.64;13.08
2015-01-16;21:00:00;0.0;12.55
2015-01-16;22:00:00;0.0;12.19
2015-01-16;23:00:00;0.0;11.99
2015-01-17;00:00:00;0.0;11.56
2015-01-17;01:00:00;0.0;11.6
2015-01-17;02:00:00;0.0;11.59
2015-01-17;03:00:00;0.0;11.48
2015-01-17;04:00:00;0.0;11.32
2015-01-17;05:00:00;0.0;11.13
2015-01-17;06:00:00;38.34;10.57
2015-01-17;07:00:00;63.02;11.14
2015-01-17;08:00:00;147.88;11.7
2015-01-17;09:00:00;255.2;12.64
2015-01-17;10:00:00;148.1;13.5
2015-01-17;11:00:00;184.5;14.27
2015-01-17;12:00:00;209.64;14.54
2015-01-17;13:00:00;284.96;15.03
2015-01-17;14:00:00;275.34;15.51
2015-01-17;15:00:00;244.54;15.68
2015-01-17;16:00:00;289.74;15.84
2015-01-17;17:00:00;206.52;16.01
2015-01-17;18:00:00;125.52;16.71
2015-01-17;19:00:00;225.22;15.59
2015-01-17;20:00:00;56.58;14.6
2015-01-17;21:00:00;0.0;13.79
2015-01-17;22:00:00;0.0;13.14
2015-01-17;23:00:00;0.0;12.66
2015-01-18;00:00:00;0.0;12.36
2015-01-18;01:00:00;0.0;11.61
2015-01-18;02:00:00;0.0;10.82
2015-01-18;03:00:00;0.0;10.36
2015-01-18;04:00:00;0.0;9.86
2015-01-18;05:00:00;0.0;9.31
2015-01-18;06:00:00;38.22;8.35
2015-01-18;07:00:00;67.62;9.15
2015-01-18;08:00:00;159.28;9.93
2015-01-18;09:00:00;275.42;11.03
2015-01-18;10:00:00;237.44;12.07
2015-01-18;11:00:00;299.62;13.01
2015-01-18;12:00:00;343.3;13.68
2015-01-18;13:00:00;373.84;14.49
2015-01-18;14:00:00;360.82;15.29
2015-01-18;15:00:00;319.52;14.99
2015-01-18;16:00:00;473.84;14.69
2015-01-18;17:00:00;332.2;14.39
2015-01-18;18:00:00;197.0;12.99
2015-01-18;19:00:00;231.94;12.14
2015-01-18;20:00:00;58.16;11.42
2015-01-18;21:00:00;0.0;10.76
2015-01-18;22:00:00;0.0;10.27
2015-01-18;23:00:00;0.0;9.95
2015-01-19;00:00:00;0.0;9.36
2015-01-19;01:00:00;0.0;9.12
2015-01-19;02:00:00;0.0;8.85
2015-01-19;03:00:00;0.0;9.34
