Date;Hour;GHI;DHI;DFHI;Temperature
2015-01-01;00:00:00;0.00;0.00;0.00;8.55
2015-01-01;01:00:00;0.00;0.00;0.00;8.46
2015-01-01;02:00:00;0.00;0.00;0.00;8.34
2015-01-01;03:00:00;0.00;0.00;0.00;7.85
2015-01-01;04:00:00;0.00;0.00;0.00;7.32
2015-01-01;05:00:00;0.00;0.00;0.00;6.75
2015-01-01;06:00:00;77.86;45.64;32.22;7.74
2015-01-01;07:00:00;106.86;0.00;106.86;8.73
2015-01-01;08:00:00;230.82;25.98;204.84;9.70
2015-01-01;09:00:00;385.60;92.06;293.54;10.96
2015-01-01;10:00:00;228.94;31.18;197.76;12.14
2015-01-01;11:00:00;282.70;53.20;229.50;13.23
2015-01-01;12:00:00;318.68;69.80;248.88;14.22
2015-01-01;13:00:00;278.28;52.66;225.62;15.28
2015-01-01;14:00:00;266.80;47.74;219.06;16.35
2015-01-01;15:00:00;235.70;35.00;200.70;16.00
2015-01-01;16:00:00;687.92;265.14;422.78;15.64
2015-01-01;17:00:00;474.14;135.40;338.74;15.28
2015-01-01;18:00:00;275.90;40.66;235.24;13.60
2015-01-01;19:00:00;236.90;183.74;53.16;12.82
2015-01-01;20:00:00;66.94;38.12;28.82;12.16
2015-01-01;21:00:00;0.00;0.00;0.00;11.35
2015-01-01;22:00:00;0.00;0.00;0.00;10.71
2015-01-01;23:00:00;0.00;0.00;0.00;10.23
2015-01-02;00:00:00;0.00;0.00;0.00;9.17
2015-01-02;01:00:00;0.00;0.00;0.00;8.90
2015-01-02;02:00:00;0.00;0.00;0.00;8.60
2015-01-02;03:00:00;0.00;0.00;0.00;8.31
2015-01-02;04:00:00;0.00;0.00;0.00;7.99
2015-01-02;05:00:00;0.00;0.00;0.00;7.63
2015-01-02;06:00:00;79.28;49.24;30.04;8.22
2015-01-02;07:00:00;255.26;204.44;50.82;9.17
2015-01-02;08:00:00;450.80;388.58;62.22;10.10
2015-01-02;09:00:00;640.02;570.50;69.52;11.59
2015-01-02;10:00:00;805.44;731.14;74.30;13.01
2015-01-02;11:00:00;933.28;856.08;77.20;14.33
2015-01-02;12:00:00;1013.62;935.10;78.52;16.98
2015-01-02;13:00:00;997.80;504.12;493.68;18.25
2015-01-02;14:00:00;948.52;465.08;483.44;19.53
2015-01-02;15:00:00;821.74;370.14;451.60;18.65
2015-01-02;16:00:00;425.02;121.32;303.70;17.76
2015-01-02;17:00:00;297.96;56.54;241.42;16.88
2015-01-02;18:00:00;177.98;12.46;165.52;14.51
2015-01-02;19:00:00;124.16;0.40;123.76;13.16
2015-01-02;20:00:00;27.22;6.88;20.34;11.93
2015-01-02;21:00:00;0.00;0.00;0.00;10.80
2015-01-02;22:00:00;0.00;0.00;0.00;9.84
2015-01-02;23:00:00;0.00;0.00;0.00;9.05
2015-01-03;00:00:00;0.00;0.00;0.00;7.79
2015-01-03;01:00:00;0.00;0.00;0.00;7.04
2015-01-03;02:00:00;0.00;0.00;0.00;6.25
2015-01-03;03:00:00;0.00;0.00;0.00;6.65
2015-01-03;04:00:00;0.00;0.00;0.00;7.01
2015-01-03;05:00:00;0.00;0.00;0.00;7.33
