Date;Hour;GHI;DHI;DFHI;Temperature;BT;RT;DT;IT_lat;BT-5;RT-5;DT-5;IT_lat-5;BT-10;RT-10;DT-10;IT_lat-10;BT-15;RT-15;DT-15;IT_lat-15;BT+5;RT+5;DT+5;IT_lat+5;BT+10;RT+10;DT+10;IT_lat+10;BT+15;RT+15;DT+15;IT_lat+15;Tcell;Energy
2015-01-01;00:00:00;0.0;0.0;0.0;8.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.55;0.0
2015-01-01;01:00:00;0.0;0.0;0.0;8.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.46;0.0
2015-01-01;02:00:00;0.0;0.0;0.0;8.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.34;0.0
2015-01-01;03:00:00;0.0;0.0;0.0;7.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.85;0.0
2015-01-01;04:00:00;0.0;0.0;0.0;7.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.32;0.0
2015-01-01;05:00:00;0.0;0.0;0.0;6.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.75;0.0
2015-01-01;06:00:00;77.86;45.64;32.22;7.74;36.78;2.29;29.81;68.89;38.8;1.83;29.1;69.73;40.57;1.42;28.41;70.4;42.08;1.05;27.81;70.94;34.54;2.8;30.45;67.78;32.08;3.34;30.92;66.34;29.44;3.91;31.14;64.49;9.48;0.02
2015-01-01;07:00:00;106.86;0.0;106.86;8.73;0.0;3.15;91.11;94.26;0.0;2.52;94.27;96.79;0.0;1.95;97.12;99.07;0.0;1.45;99.63;101.08;0.0;3.84;87.67;91.51;0.0;4.58;83.96;88.54;0.0;5.37;80.02;85.39;11.11;0.03
2015-01-01;08:00:00;230.82;25.98;204.84;9.7;20.94;6.8;181.36;209.1;22.08;5.44;184.37;211.9;23.09;4.21;186.99;214.29;23.95;3.12;189.32;216.4;19.66;8.29;177.82;205.77;18.26;9.89;173.61;201.76;16.76;11.59;168.6;196.95;14.98;0.06
2015-01-01;09:00:00;385.6;92.06;293.54;10.96;74.19;11.37;260.24;345.8;78.26;9.09;260.57;347.91;81.83;7.03;260.6;349.46;84.88;5.22;260.68;350.77;69.67;13.85;259.21;342.73;64.71;16.53;257.04;338.28;59.37;19.37;253.32;332.06;19.69;0.1
2015-01-01;10:00:00;228.94;31.18;197.76;12.14;25.13;6.75;178.78;210.66;26.5;5.39;181.18;213.08;27.71;4.17;183.23;215.11;28.75;3.1;185.05;216.9;23.6;8.22;175.87;207.69;21.92;9.81;172.28;204.01;20.11;11.5;167.85;199.46;17.46;0.06
2015-01-01;11:00:00;282.7;53.2;229.5;13.23;42.88;8.33;210.07;261.28;45.22;6.66;211.52;263.4;47.29;5.16;212.65;265.09;49.05;3.82;213.68;266.55;40.26;10.16;208.03;258.45;37.4;12.12;205.14;254.65;34.31;14.2;201.11;249.62;19.83;0.08
2015-01-01;12:00:00;318.68;69.8;248.88;14.22;56.25;9.39;228.75;294.4;59.33;7.51;229.53;296.37;62.04;5.81;230.01;297.86;64.36;4.31;230.47;299.14;52.82;11.45;227.35;291.62;49.07;13.66;224.98;287.7;45.02;16.01;221.29;282.31;21.66;0.09
2015-01-01;13:00:00;278.28;52.66;225.62;15.28;42.44;8.2;207.12;257.76;44.76;6.56;208.52;259.84;46.81;5.07;209.61;261.49;48.55;3.76;210.61;262.92;39.85;10.0;205.14;254.99;37.02;11.93;202.31;251.25;33.96;13.98;198.36;246.3;21.79;0.08
2015-01-01;14:00:00;266.8;47.74;219.06;16.35;38.48;7.86;200.4;246.73;40.58;6.29;202.0;248.87;42.43;4.87;203.28;250.58;44.02;3.61;204.44;252.07;36.13;9.58;198.23;243.94;33.56;11.43;195.26;240.25;30.79;13.4;191.23;235.42;22.58;0.07
2015-01-01;15:00:00;235.7;35.0;200.7;16.0;28.21;6.95;181.97;217.12;29.75;5.55;184.11;219.42;31.11;4.3;185.92;221.33;32.27;3.19;187.54;223.0;26.49;8.47;179.3;214.26;24.6;10.1;175.93;210.64;22.57;11.84;171.67;206.09;21.48;0.06
2015-01-01;16:00:00;687.92;265.14;422.78;15.64;213.68;20.28;316.2;550.16;225.39;16.21;312.45;554.05;235.67;12.54;308.62;556.84;244.46;9.31;305.32;559.09;200.65;24.71;319.14;544.5;186.38;29.48;320.52;536.39;171.0;34.55;319.61;525.16;29.54;0.17
2015-01-01;17:00:00;474.14;135.4;338.74;15.28;109.12;13.98;276.48;399.58;115.1;11.17;275.54;401.81;120.35;8.65;274.37;403.37;124.84;6.41;273.39;404.65;102.47;17.03;276.69;396.19;95.18;20.32;275.64;391.14;87.33;23.81;272.81;383.95;25.37;0.12
