Date;Hour;Power
2018-08-01;0:00:00;121.75
2018-08-01;1:00:00;101.75
2018-08-01;2:00:00;91.5
2018-08-01;3:00:00;86.75
2018-08-01;4:00:00;83.75
2018-08-01;5:00:00;84.25
2018-08-01;6:00:00;86.25
2018-08-01;7:00:00;130.25
2018-08-01;8:00:00;131.75
2018-08-01;9:00:00;127.25
2018-08-01;10:00:00;129.25
2018-08-01;11:00:00;130.75
2018-08-01;12:00:00;126.75
2018-08-01;13:00:00;126.75
2018-08-01;14:00:00;116.5
2018-08-01;15:00:00;120.0
2018-08-01;16:00:00;116.75
2018-08-01;17:00:00;111.25
2018-08-01;18:00:00;135.25
2018-08-01;19:00:00;163.0
2018-08-01;20:00:00;161.0
2018-08-01;21:00:00;153.75
2018-08-01;22:00:00;148.5
2018-08-01;23:00:00;144.75
2018-08-02;0:00:00;128.75
2018-08-02;1:00:00;105.0
2018-08-02;2:00:00;91.75
2018-08-02;3:00:00;88.5
2018-08-02;4:00:00;83.25
2018-08-02;5:00:00;78.75
2018-08-02;6:00:00;80.5
2018-08-02;7:00:00;91.5
2018-08-02;8:00:00;140.75
2018-08-02;9:00:00;146.0
2018-08-02;10:00:00;134.75
2018-08-02;11:00:00;131.25
2018-08-02;12:00:00;140.5
2018-08-02;13:00:00;146.5
2018-08-02;14:00:00;136.25
2018-08-02;15:00:00;138.5
2018-08-02;16:00:00;136.25
2018-08-02;17:00:00;145.75
2018-08-02;18:00:00;175.25
2018-08-02;19:00:00;177.0
2018-08-02;20:00:00;178.75
2018-08-02;21:00:00;158.5
2018-08-02;22:00:00;150.25
2018-08-02;23:00:00;139.5
2018-08-03;0:00:00;122.25
2018-08-03;1:00:00;105.5
2018-08-03;2:00:00;96.5
2018-08-03;3:00:00;93.0
2018-08-03;4:00:00;87.75
2018-08-03;5:00:00;82.25
2018-08-03;6:00:00;86.0
2018-08-03;7:00:00;100.5
2018-08-03;8:00:00;133.25
2018-08-03;9:00:00;126.0
2018-08-03;10:00:00;130.0
2018-08-03;11:00:00;141.5
2018-08-03;12:00:00;141.75
2018-08-03;13:00:00;132.5
2018-08-03;14:00:00;133.5
2018-08-03;15:00:00;141.0
2018-08-03;16:00:00;141.25
2018-08-03;17:00:00;139.5
2018-08-03;18:00:00;154.5
2018-08-03;19:00:00;156.25
2018-08-03;20:00:00;158.75
2018-08-03;21:00:00;153.0
2018-08-03;22:00:00;150.0
2018-08-03;23:00:00;144.0
2018-08-04;0:00:00;125.5
2018-08-04;1:00:00;107.25
2018-08-04;2:00:00;91.0
2018-08-04;3:00:00;85.75
2018-08-04;4:00:00;82.75
2018-08-04;5:00:00;83.5
2018-08-04;6:00:00;88.25
2018-08-04;7:00:00;95.5
2018-08-04;8:00:00;119.0
2018-08-04;9:00:00;114.25
2018-08-04;10:00:00;125.0
2018-08-04;11:00:00;122.75
2018-08-04;12:00:00;120.0
2018-08-04;13:00:00;125.5
2018-08-04;14:00:00;124.0
2018-08-04;15:00:00;123.75
2018-08-04;16:00:00;117.5
2018-08-04;17:00:00;110.75
2018-08-04;18:00:00;150.75
2018-08-04;19:00:00;152.5
2018-08-04;20:00:00;152.0
2018-08-04;21:00:00;150.25
2018-08-04;22:00:00;148.0
2018-08-04;23:00:00;138.75
2018-08-05;0:00:00;125.5
2018-08-05;1:00:00;109.25
2018-08-05;2:00:00;95.25
2018-08-05;3:00:00;93.25
2018-08-05;4:00:00;92.5
2018-08-05;5:00:00;95.0
2018-08-05;6:00:00;90.75
2018-08-05;7:00:00;91.25
2018-08-05;8:00:00;88.75
2018-08-05;9:00:00;79.75
2018-08-05;10:00:00;88.75
2018-08-05;11:00:00;114.25
2018-08-05;12:00:00;110.25
2018-08-05;13:00:00;122.5
2018-08-05;14:00:00;119.25
2018-08-05;15:00:00;122.0
2018-08-05;16:00:00;119.0
2018-08-05;17:00:00;111.0
2018-08-05;18:00:00;139.0
2018-08-05;19:00:00;158.0
2018-08-05;20:00:00;157.5
2018-08-05;21:00:00;153.75
2018-08-05;22:00:00;153.75
2018-08-05;23:00:00;141.0
2018-08-06;0:00:00;123.75
2018-08-06;1:00:00;108.5
2018-08-06;2:00:00;111.75
2018-08-06;3:00:00;90.75
2018-08-06;4:00:00;86.25
2018-08-06;5:00:00;83.5
2018-08-06;6:00:00;91.5
2018-08-06;7:00:00;113.75
2018-08-06;8:00:00;126.0
2018-08-06;9:00:00;116.75
2018-08-06;10:00:00;116.5
2018-08-06;11:00:00;128.5
2018-08-06;12:00:00;114.0
2018-08-06;13:00:00;116.75
2018-08-06;14:00:00;120.25
2018-08-06;15:00:00;125.75
2018-08-06;16:00:00;120.25
2018-08-06;17:00:00;120.25
2018-08-06;18:00:00;153.5
2018-08-06;19:00:00;158.5
2018-08-06;20:00:00;162.75
2018-08-06;21:00:00;141.5
2018-08-06;22:00:00;134.75
2018-08-06;23:00:00;124.25
2018-08-07;0:00:00;103.0
2018-08-07;1:00:00;83.75
2018-08-07;2:00:00;77.0
2018-08-07;3:00:00;72.75
2018-08-07;4:00:00;73.75
2018-08-07;5:00:00;74.75
2018-08-07;6:00:00;81.0
2018-08-07;7:00:00;103.75
2018-08-07;8:00:00;124.0
2018-08-07;9:00:00;112.75
2018-08-07;10:00:00;132.0
2018-08-07;11:00:00;136.75
2018-08-07;12:00:00;126.25
2018-08-07;13:00:00;125.25
2018-08-07;14:00:00;131.5
2018-08-07;15:00:00;136.25
2018-08-07;16:00:00;125.5
2018-08-07;17:00:00;117.25
2018-08-07;18:00:00;154.25
2018-08-07;19:00:00;162.75
2018-08-07;20:00:00;174.5
2018-08-07;21:00:00;165.75
2018-08-07;22:00:00;151.0
2018-08-07;23:00:00;133.25
2018-08-08;0:00:00;112.25
2018-08-08;1:00:00;92.25
2018-08-08;2:00:00;88.75
2018-08-08;3:00:00;87.25
2018-08-08;4:00:00;86.5
2018-08-08;5:00:00;87.0
2018-08-08;6:00:00;91.75
2018-08-08;7:00:00;123.25
2018-08-08;8:00:00;146.5
2018-08-08;9:00:00;124.25
2018-08-08;10:00:00;123.25
2018-08-08;11:00:00;114.75
2018-08-08;12:00:00;115.5
2018-08-08;13:00:00;115.0
2018-08-08;14:00:00;115.5
2018-08-08;15:00:00;116.25
2018-08-08;16:00:00;125.0
2018-08-08;17:00:00;143.75
2018-08-08;18:00:00;171.25
2018-08-08;19:00:00;172.25
2018-08-08;20:00:00;163.0
2018-08-08;21:00:00;149.75
2018-08-08;22:00:00;154.5
2018-08-08;23:00:00;150.25
2018-08-09;0:00:00;115.75
2018-08-09;1:00:00;100.0
2018-08-09;2:00:00;93.0
2018-08-09;3:00:00;90.5
2018-08-09;4:00:00;90.25
2018-08-09;5:00:00;90.5
2018-08-09;6:00:00;96.25
2018-08-09;7:00:00;117.25
2018-08-09;8:00:00;143.5
2018-08-09;9:00:00;119.75
2018-08-09;10:00:00;134.25
2018-08-09;11:00:00;135.75
2018-08-09;12:00:00;132.5
2018-08-09;13:00:00;134.0
2018-08-09;14:00:00;139.75
2018-08-09;15:00:00;124.0
2018-08-09;16:00:00;125.75
2018-08-09;17:00:00;128.5
2018-08-09;18:00:00;150.5
2018-08-09;19:00:00;172.25
2018-08-09;20:00:00;167.5
2018-08-09;21:00:00;159.25
2018-08-09;22:00:00;143.5
2018-08-09;23:00:00;123.5
2018-08-10;0:00:00;111.25
2018-08-10;1:00:00;99.25
2018-08-10;2:00:00;92.25
2018-08-10;3:00:00;86.75
2018-08-10;4:00:00;86.5
2018-08-10;5:00:00;89.0
2018-08-10;6:00:00;90.0
2018-08-10;7:00:00;110.75
2018-08-10;8:00:00;122.75
2018-08-10;9:00:00;123.25
2018-08-10;10:00:00;117.5
2018-08-10;11:00:00;115.75
2018-08-10;12:00:00;117.5
2018-08-10;13:00:00;115.5
2018-08-10;14:00:00;107.0
2018-08-10;15:00:00;106.75
2018-08-10;16:00:00;113.75
2018-08-10;17:00:00;117.25
2018-08-10;18:00:00;135.75
2018-08-10;19:00:00;160.75
2018-08-10;20:00:00;153.25
2018-08-10;21:00:00;153.5
2018-08-10;22:00:00;148.25
2018-08-10;23:00:00;143.25
2018-08-11;0:00:00;120.5
2018-08-11;1:00:00;103.75
2018-08-11;2:00:00;90.5
2018-08-11;3:00:00;92.0
2018-08-11;4:00:00;90.75
2018-08-11;5:00:00;85.25
2018-08-11;6:00:00;94.75
2018-08-11;7:00:00;99.5
2018-08-11;8:00:00;96.25
2018-08-11;9:00:00;95.25
2018-08-11;10:00:00;118.75
2018-08-11;11:00:00;129.5
2018-08-11;12:00:00;123.75
2018-08-11;13:00:00;121.5
2018-08-11;14:00:00;115.5
2018-08-11;15:00:00;107.5
2018-08-11;16:00:00;105.25
2018-08-11;17:00:00;106.25
2018-08-11;18:00:00;122.25
2018-08-11;19:00:00;157.25
2018-08-11;20:00:00;154.25
2018-08-11;21:00:00;151.5
2018-08-11;22:00:00;147.0
2018-08-11;23:00:00;132.75
2018-08-12;0:00:00;133.0
2018-08-12;1:00:00;119.25
2018-08-12;2:00:00;99.0
2018-08-12;3:00:00;96.25
2018-08-12;4:00:00;91.5
2018-08-12;5:00:00;85.5
2018-08-12;6:00:00;85.0
2018-08-12;7:00:00;89.0
2018-08-12;8:00:00;89.0
2018-08-12;9:00:00;89.0
2018-08-12;10:00:00;93.5
2018-08-12;11:00:00;107.25
2018-08-12;12:00:00;118.25
2018-08-12;13:00:00;118.25
2018-08-12;14:00:00;119.0
2018-08-12;15:00:00;126.0
2018-08-12;16:00:00;118.5
2018-08-12;17:00:00;118.25
2018-08-12;18:00:00;124.5
2018-08-12;19:00:00;147.75
2018-08-12;20:00:00;157.25
2018-08-12;21:00:00;158.0
2018-08-12;22:00:00;152.25
2018-08-12;23:00:00;142.75
2018-08-13;0:00:00;122.75
2018-08-13;1:00:00;103.25
2018-08-13;2:00:00;90.75
2018-08-13;3:00:00;88.25
2018-08-13;4:00:00;88.75
2018-08-13;5:00:00;88.0
2018-08-13;6:00:00;85.25
2018-08-13;7:00:00;118.75
2018-08-13;8:00:00;139.75
2018-08-13;9:00:00;127.5
2018-08-13;10:00:00;126.75
2018-08-13;11:00:00;132.5
2018-08-13;12:00:00;126.0
2018-08-13;13:00:00;122.25
2018-08-13;14:00:00;116.5
2018-08-13;15:00:00;126.5
2018-08-13;16:00:00;128.0
2018-08-13;17:00:00;126.25
2018-08-13;18:00:00;123.5
2018-08-13;19:00:00;140.0
2018-08-13;20:00:00;152.0
2018-08-13;21:00:00;149.0
2018-08-13;22:00:00;147.5
2018-08-13;23:00:00;141.0
2018-08-14;0:00:00;122.25
2018-08-14;1:00:00;105.75
2018-08-14;2:00:00;95.5
2018-08-14;3:00:00;89.5
2018-08-14;4:00:00;85.0
2018-08-14;5:00:00;83.5
2018-08-14;6:00:00;88.5
2018-08-14;7:00:00;112.0
2018-08-14;8:00:00;145.5
2018-08-14;9:00:00;134.75
2018-08-14;10:00:00;121.75
2018-08-14;11:00:00;125.0
2018-08-14;12:00:00;119.5
2018-08-14;13:00:00;127.5
2018-08-14;14:00:00;121.75
2018-08-14;15:00:00;120.75
2018-08-14;16:00:00;126.75
2018-08-14;17:00:00;128.0
2018-08-14;18:00:00;154.25
2018-08-14;19:00:00;162.75
2018-08-14;20:00:00;172.0
2018-08-14;21:00:00;165.75
2018-08-14;22:00:00;151.0
2018-08-14;23:00:00;133.25
2018-08-15;0:00:00;121.25
2018-08-15;1:00:00;104.25
2018-08-15;2:00:00;91.5
2018-08-15;3:00:00;87.5
2018-08-15;4:00:00;87.75
2018-08-15;5:00:00;88.5
2018-08-15;6:00:00;83.5
2018-08-15;7:00:00;99.5
2018-08-15;8:00:00;104.75
2018-08-15;9:00:00;89.0
2018-08-15;10:00:00;95.75
2018-08-15;11:00:00;112.75
2018-08-15;12:00:00;109.0
2018-08-15;13:00:00;118.0
2018-08-15;14:00:00;112.0
2018-08-15;15:00:00;118.75
2018-08-15;16:00:00;122.75
2018-08-15;17:00:00;130.25
2018-08-15;18:00:00;143.75
2018-08-15;19:00:00;160.75
2018-08-15;20:00:00;157.25
2018-08-15;21:00:00;153.5
2018-08-15;22:00:00;149.75
2018-08-15;23:00:00;143.25
2018-08-16;0:00:00;116.5
2018-08-16;1:00:00;95.75
2018-08-16;2:00:00;89.5
2018-08-16;3:00:00;84.0
2018-08-16;4:00:00;86.75
2018-08-16;5:00:00;80.75
2018-08-16;6:00:00;85.5
2018-08-16;7:00:00;111.75
2018-08-16;8:00:00;140.25
2018-08-16;9:00:00;128.75
2018-08-16;10:00:00;126.25
2018-08-16;11:00:00;122.0
2018-08-16;12:00:00;124.5
2018-08-16;13:00:00;134.25
2018-08-16;14:00:00;124.75
2018-08-16;15:00:00;118.75
2018-08-16;16:00:00;117.25
2018-08-16;17:00:00;134.5
2018-08-16;18:00:00;139.0
2018-08-16;19:00:00;158.0
2018-08-16;20:00:00;157.5
2018-08-16;21:00:00;153.75
2018-08-16;22:00:00;154.5
2018-08-16;23:00:00;141.0
2018-08-17;0:00:00;124.0
2018-08-17;1:00:00;113.75
2018-08-17;2:00:00;100.25
2018-08-17;3:00:00;96.75
2018-08-17;4:00:00;88.75
2018-08-17;5:00:00;90.75
2018-08-17;6:00:00;88.0
2018-08-17;7:00:00;113.25
2018-08-17;8:00:00;130.0
2018-08-17;9:00:00;130.75
2018-08-17;10:00:00;132.5
2018-08-17;11:00:00;134.75
2018-08-17;12:00:00;134.75
2018-08-17;13:00:00;133.5
2018-08-17;14:00:00;123.5
2018-08-17;15:00:00;112.75
2018-08-17;16:00:00;110.5
2018-08-17;17:00:00;112.5
2018-08-17;18:00:00;110.75
2018-08-17;19:00:00;139.75
2018-08-17;20:00:00;163.75
2018-08-17;21:00:00;157.25
2018-08-17;22:00:00;148.25
2018-08-17;23:00:00;137.5
2018-08-18;0:00:00;122.75
2018-08-18;1:00:00;112.0
2018-08-18;2:00:00;98.75
2018-08-18;3:00:00;98.0
2018-08-18;4:00:00;91.25
2018-08-18;5:00:00;88.75
2018-08-18;6:00:00;82.0
2018-08-18;7:00:00;83.25
2018-08-18;8:00:00;93.25
2018-08-18;9:00:00;75.25
2018-08-18;10:00:00;88.25
2018-08-18;11:00:00;103.75
2018-08-18;12:00:00;98.75
2018-08-18;13:00:00;104.25
2018-08-18;14:00:00;109.25
2018-08-18;15:00:00;99.75
2018-08-18;16:00:00;95.5
2018-08-18;17:00:00;91.0
2018-08-18;18:00:00;95.0
2018-08-18;19:00:00;120.75
2018-08-18;20:00:00;143.0
2018-08-18;21:00:00;138.5
2018-08-18;22:00:00;137.25
2018-08-18;23:00:00;129.25
2018-08-19;0:00:00;114.25
2018-08-19;1:00:00;99.5
2018-08-19;2:00:00;93.25
2018-08-19;3:00:00;92.0
2018-08-19;4:00:00;85.75
2018-08-19;5:00:00;81.25
2018-08-19;6:00:00;80.25
2018-08-19;7:00:00;83.25
2018-08-19;8:00:00;82.5
2018-08-19;9:00:00;67.75
2018-08-19;10:00:00;88.25
2018-08-19;11:00:00;93.5
2018-08-19;12:00:00;100.5
2018-08-19;13:00:00;104.5
2018-08-19;14:00:00;100.25
2018-08-19;15:00:00;94.75
2018-08-19;16:00:00;94.5
2018-08-19;17:00:00;91.25
2018-08-19;18:00:00;91.0
2018-08-19;19:00:00;114.75
2018-08-19;20:00:00;142.5
2018-08-19;21:00:00;145.0
