Date;Hour;Power
2018-12-01;0:00:00;115.5
2018-12-01;1:00:00;104.0
2018-12-01;2:00:00;94.25
2018-12-01;3:00:00;86.75
2018-12-01;4:00:00;86.0
2018-12-01;5:00:00;83.25
2018-12-01;6:00:00;66.25
2018-12-01;7:00:00;79.0
2018-12-01;8:00:00;80.75
2018-12-01;9:00:00;95.0
2018-12-01;10:00:00;113.75
2018-12-01;11:00:00;114.5
2018-12-01;12:00:00;115.25
2018-12-01;13:00:00;120.5
2018-12-01;14:00:00;111.5
2018-12-01;15:00:00;103.25
2018-12-01;16:00:00;112.25
2018-12-01;17:00:00;112.75
2018-12-01;18:00:00;121.5
2018-12-01;19:00:00;131.5
2018-12-01;20:00:00;133.75
2018-12-01;21:00:00;150.25
2018-12-01;22:00:00;157.0
2018-12-01;23:00:00;144.5
2018-12-02;0:00:00;108.25
2018-12-02;1:00:00;89.5
2018-12-02;2:00:00;82.25
2018-12-02;3:00:00;79.25
2018-12-02;4:00:00;78.0
2018-12-02;5:00:00;76.5
2018-12-02;6:00:00;58.75
2018-12-02;7:00:00;55.75
2018-12-02;8:00:00;69.5
2018-12-02;9:00:00;83.5
2018-12-02;10:00:00;90.5
2018-12-02;11:00:00;106.0
2018-12-02;12:00:00;102.75
2018-12-02;13:00:00;118.5
2018-12-02;14:00:00;121.25
2018-12-02;15:00:00;115.5
2018-12-02;16:00:00;100.5
2018-12-02;17:00:00;101.5
2018-12-02;18:00:00;106.5
2018-12-02;19:00:00;106.0
2018-12-02;20:00:00;110.5
2018-12-02;21:00:00;121.75
2018-12-02;22:00:00;134.75
2018-12-02;23:00:00;133.25
2018-12-03;0:00:00;115.75
2018-12-03;1:00:00;88.0
2018-12-03;2:00:00;80.5
2018-12-03;3:00:00;77.0
2018-12-03;4:00:00;71.25
2018-12-03;5:00:00;63.75
2018-12-03;6:00:00;60.25
2018-12-03;7:00:00;67.5
2018-12-03;8:00:00;77.5
2018-12-03;9:00:00;97.75
2018-12-03;10:00:00;98.75
2018-12-03;11:00:00;105.5
2018-12-03;12:00:00;110.5
2018-12-03;13:00:00;107.25
2018-12-03;14:00:00;99.75
2018-12-03;15:00:00;109.5
2018-12-03;16:00:00;114.25
2018-12-03;17:00:00;119.5
2018-12-03;18:00:00;118.75
2018-12-03;19:00:00;119.0
2018-12-03;20:00:00;116.25
2018-12-03;21:00:00;132.5
2018-12-03;22:00:00;143.75
2018-12-03;23:00:00;131.0
2018-12-04;0:00:00;113.25
2018-12-04;1:00:00;98.5
2018-12-04;2:00:00;81.25
2018-12-04;3:00:00;71.75
2018-12-04;4:00:00;68.0
2018-12-04;5:00:00;61.5
2018-12-04;6:00:00;64.75
2018-12-04;7:00:00;76.75
2018-12-04;8:00:00;85.5
2018-12-04;9:00:00;101.75
2018-12-04;10:00:00;106.5
2018-12-04;11:00:00;116.0
2018-12-04;12:00:00;120.0
2018-12-04;13:00:00;103.5
2018-12-04;14:00:00;99.75
2018-12-04;15:00:00;110.0
2018-12-04;16:00:00;106.25
2018-12-04;17:00:00;105.25
2018-12-04;18:00:00;112.75
2018-12-04;19:00:00;113.25
2018-12-04;20:00:00;105.75
2018-12-04;21:00:00;127.75
2018-12-04;22:00:00;144.0
2018-12-04;23:00:00;136.25
2018-12-05;0:00:00;119.25
2018-12-05;1:00:00;104.75
2018-12-05;2:00:00;87.75
2018-12-05;3:00:00;78.5
2018-12-05;4:00:00;73.75
2018-12-05;5:00:00;68.5
2018-12-05;6:00:00;64.0
2018-12-05;7:00:00;57.75
2018-12-05;8:00:00;85.25
2018-12-05;9:00:00;106.5
2018-12-05;10:00:00;99.5
2018-12-05;11:00:00;97.5
2018-12-05;12:00:00;104.25
2018-12-05;13:00:00;102.0
2018-12-05;14:00:00;104.25
2018-12-05;15:00:00;112.75
2018-12-05;16:00:00;105.0
2018-12-05;17:00:00;107.5
2018-12-05;18:00:00;117.25
