Date;Hour;Power
2018-05-01;0:00:00;124.25
2018-05-01;1:00:00;97.25
2018-05-01;2:00:00;92.0
2018-05-01;3:00:00;84.0
2018-05-01;4:00:00;81.0
2018-05-01;5:00:00;79.25
2018-05-01;6:00:00;80.25
2018-05-01;7:00:00;81.75
2018-05-01;8:00:00;89.75
2018-05-01;9:00:00;85.75
2018-05-01;10:00:00;96.25
2018-05-01;11:00:00;105.0
2018-05-01;12:00:00;92.25
2018-05-01;13:00:00;97.75
2018-05-01;14:00:00;98.0
2018-05-01;15:00:00;93.0
2018-05-01;16:00:00;101.25
2018-05-01;17:00:00;99.75
2018-05-01;18:00:00;131.0
2018-05-01;19:00:00;127.5
2018-05-01;20:00:00;144.25
2018-05-01;21:00:00;147.75
2018-05-01;22:00:00;135.5
2018-05-01;23:00:00;125.75
2018-05-02;0:00:00;121.25
2018-05-02;1:00:00;97.25
2018-05-02;2:00:00;90.75
2018-05-02;3:00:00;84.75
2018-05-02;4:00:00;84.25
2018-05-02;5:00:00;83.0
2018-05-02;6:00:00;80.5
2018-05-02;7:00:00;104.5
2018-05-02;8:00:00;137.75
2018-05-02;9:00:00;142.0
2018-05-02;10:00:00;134.0
2018-05-02;11:00:00;136.25
2018-05-02;12:00:00;134.5
2018-05-02;13:00:00;130.25
2018-05-02;14:00:00;142.0
2018-05-02;15:00:00;146.0
2018-05-02;16:00:00;149.0
2018-05-02;17:00:00;136.25
2018-05-02;18:00:00;132.5
2018-05-02;19:00:00;148.5
2018-05-02;20:00:00;152.0
2018-05-02;21:00:00;150.75
2018-05-02;22:00:00;141.25
2018-05-02;23:00:00;133.25
2018-05-03;0:00:00;118.25
2018-05-03;1:00:00;111.0
2018-05-03;2:00:00;102.25
2018-05-03;3:00:00;99.0
2018-05-03;4:00:00;89.5
2018-05-03;5:00:00;95.0
2018-05-03;6:00:00;93.75
2018-05-03;7:00:00;102.5
2018-05-03;8:00:00;137.5
2018-05-03;9:00:00;140.5
2018-05-03;10:00:00;137.5
2018-05-03;11:00:00;133.5
2018-05-03;12:00:00;139.75
2018-05-03;13:00:00;137.5
2018-05-03;14:00:00;126.0
2018-05-03;15:00:00;135.0
2018-05-03;16:00:00;126.5
2018-05-03;17:00:00;114.0
2018-05-03;18:00:00;130.5
2018-05-03;19:00:00;147.0
2018-05-03;20:00:00;153.0
2018-05-03;21:00:00;147.25
2018-05-03;22:00:00;140.25
2018-05-03;23:00:00;129.75
2018-05-04;0:00:00;119.5
2018-05-04;1:00:00;98.25
2018-05-04;2:00:00;86.5
2018-05-04;3:00:00;84.75
2018-05-04;4:00:00;84.5
2018-05-04;5:00:00;84.75
2018-05-04;6:00:00;82.75
2018-05-04;7:00:00;100.75
2018-05-04;8:00:00;132.0
2018-05-04;9:00:00;133.25
2018-05-04;10:00:00;142.25
2018-05-04;11:00:00;132.75
2018-05-04;12:00:00;123.25
2018-05-04;13:00:00;121.75
2018-05-04;14:00:00;119.5
2018-05-04;15:00:00;115.5
2018-05-04;16:00:00;111.75
2018-05-04;17:00:00;110.0
2018-05-04;18:00:00;115.75
2018-05-04;19:00:00;130.75
2018-05-04;20:00:00;141.0
2018-05-04;21:00:00;134.25
2018-05-04;22:00:00;137.25
2018-05-04;23:00:00;125.0
2018-05-05;0:00:00;113.25
2018-05-05;1:00:00;96.75
2018-05-05;2:00:00;92.75
2018-05-05;3:00:00;85.5
2018-05-05;4:00:00;82.0
2018-05-05;5:00:00;78.75
2018-05-05;6:00:00;81.75
2018-05-05;7:00:00;86.0
2018-05-05;8:00:00;89.25
2018-05-05;9:00:00;89.75
2018-05-05;10:00:00;91.75
2018-05-05;11:00:00;97.75
2018-05-05;12:00:00;102.0
2018-05-05;13:00:00;97.0
2018-05-05;14:00:00;101.75
2018-05-05;15:00:00;100.0
2018-05-05;16:00:00;103.75
2018-05-05;17:00:00;105.75
2018-05-05;18:00:00;108.5
2018-05-05;19:00:00;123.5
2018-05-05;20:00:00;135.75
2018-05-05;21:00:00;138.0
2018-05-05;22:00:00;124.0
2018-05-05;23:00:00;116.5
2018-05-06;0:00:00;113.5
2018-05-06;1:00:00;93.75
2018-05-06;2:00:00;90.25
2018-05-06;3:00:00;85.25
2018-05-06;4:00:00;84.0
2018-05-06;5:00:00;83.25
2018-05-06;6:00:00;80.75
2018-05-06;7:00:00;85.5
2018-05-06;8:00:00;83.75
2018-05-06;9:00:00;88.0
2018-05-06;10:00:00;96.25
2018-05-06;11:00:00;100.5
2018-05-06;12:00:00;104.5
2018-05-06;13:00:00;102.25
2018-05-06;14:00:00;108.0
2018-05-06;15:00:00;102.5
